LONG;LAT;ID;PERIODO;CATEGORIA;ESTABLECIM;HABITACION;PLAZAS;DOMICILIO;TELEFONO;MAIL;WEB;DOM_NORMA;CALLE;ALTURA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58,4301115689;-34,5855903108;1;2017;REG DE PREST;1828 SMART HOTEL;14;28;FRAY JUSTO S. M. DE ORO 1828;2060-9011;RESERVAS@1828SMARTHOTEL.COM;HTTP://1828SMARTHOTEL.COM/;FRAY JUSTO SANTAMARIA DE ORO 1828;FRAY JUSTO SANTAMARIA DE ORO;1828;PALERMO;COMUNA 14;1414;C1414DBD
-58,3716581489;-34,5989286408;2;2017;HOTEL 5;REGAL PACIFIC;110;337;25 DE MAYO 758;4310-7000;INFO@248FINISTERRA.COM;HTTP://AR.REGAL-PACIFIC.COM/;758 25 DE MAYO;25 DE MAYO;758;SAN NICOLAS;COMUNA 1;1002;C1002ABP
-58,4557808389;-34,5648678208;3;2017;HOSP. A;ARGENTA SUITES BELGRANO (EX ATLAS);23;43;CIUDAD DE LA PAZ 1868;4706-1881;INFO@ARGENTA-SUITES.COM.AR;HTTP://ARGENTA-SUITES.COM.AR/;CIUDAD DE LA PAZ 1868;CIUDAD DE LA PAZ;1868;BELGRANO;COMUNA 13;1428;C1428CPD
-58,3777299089;-34,6144937208;4;2017;REG DE PREST;ART FACTORY HOSTEL;10;20;PIEDRAS 545;4343-1463;RESERVAS@PORTALDELSUR.COM.AR;HTTP://ARTFACTORYBA.COM.AR/ES/HOSTEL/;PIEDRAS 545;PIEDRAS;545;MONSERRAT;COMUNA 1;1070;C1070AAK
-58,3855250289;-34,6091541208;5;2017;HOTEL 1;AVENIDA PETIT HOTEL;51;97;DE MAYO AV. 1347;4381-2428 / 7831;HOTELMAIPO@HOTMAIL.COM;HTTP://AVENIDAPETIT.BLOGSPOT.COM.AR/;1347 DE MAYO AV.;DE MAYO AV.;1347;MONSERRAT;COMUNA 1;1085;C1085ABD
-58,3949830689;-34,5924709508;6;2017;HOTEL 2;AYACUCHO PALACE HOTEL;64;116;AYACUCHO 1408;4806-1815;RESERVAS@HOTELAEROPARQUE.COM;HTTP://AYACUCHOHOTEL.COM.AR/;1408 AYACUCHO;AYACUCHO;1408;RECOLETA;COMUNA 2;1111;C1111AAN
-58,3833118989;-34,6087464508;7;2017;REG DE PREST;B.A. STOP HOSTEL;6;18;RIVADAVIA 1194;4382-7406;RESERVAS@ROCHESTERCLASSIC.COM.AR;HTTP://BASTOP.COM/PB/;RIVADAVIA AV. 1194;RIVADAVIA AV.;1194;MONSERRAT;COMUNA 1;1033;C1033AAO
-58,4354026489;-34,5846225308;8;2017;HOTEL 2;BE HOLLYWOOD;30;85;HUMBOLDT 1716;5555-8100;RESERVAS@BEHOLLYWOOD.COM;HTTP://BEHOLLYWOOD.COM/;HUMBOLDT 1716;HUMBOLDT;1716;PALERMO;COMUNA 14;1414;C1414CTR
-58,4605844289;-34,5554466408;9;2017;APART HOTEL 2;KER BELGRANO;27;54;VTA DE OBLIGADO 2727;4789-9383;RESERVASBELGRANO@KERHOTELES.COM.AR;HTTP://BELGRANO.KERHOTELES.COM.AR/;VUELTA DE OBLIGADO 2727;VUELTA DE OBLIGADO;2727;BELGRANO;COMUNA 13;1428;C1428ADS
-58,3880568589;-34,6102211508;10;2017;APART HOTEL 1;BENCO APART HOTEL;26;52;YRIGOYEN H. 1534;4373-7207 / 08;RECEPCION@BACENTRALHOTEL.COM.AR;HTTP://BENCOAPARTHOTEL.COM/;YRIGOYEN, HIPOLITO AV. 1534;YRIGOYEN, HIPOLITO AV.;1534;MONSERRAT;COMUNA 1;1089;C1089AAD
-58,4026157189;-34,6157610108;11;2017;REG DE PREST;BET HOTEL;31;38;SAAVEDRA 526;4942-3399;INFO@IMPERIALPARKHOTEL.COM;HTTP://BETHOTELBUENOSAIRES.COM.AR/ES;SAAVEDRA 526;SAAVEDRA;526;BALVANERA;COMUNA 3;1229;C1229ACB
-58,3805928289;-34,6071646208;12;2017;HOTEL 4;CONTE HOTEL;118;236;PELLEGRINI 101;4326-8898 / 4394-8441;TRESARGENTOS@HOTMAIL.COM;HTTP://CONTE-HOTEL.COM.AR/;PELLEGRINI, CARLOS 101;PELLEGRINI, CARLOS;101;SAN NICOLAS;COMUNA 1;1009;C1009ABC
-58,3723095189;-34,6204498808;13;2017;REG DE PREST;HOTEL ANSELMO BUENOS AIRES CURIO COLLECTION;50;143;DON ANSELMO AIETA 1069;5279-9000;RESERVAS@HJ9DEJULIO.COM.AR;HTTP://CURIOCOLLECTION3.HILTON.COM/EN/HOTELS/ARGENTINA/ANSELMO-BUENOS-AIRES-CURIO-COLLECTION-BY-HILTON-BUEBAQQ/INDEX.HTML;1069 DON ANSELMO AIETA;DON ANSELMO AIETA;1069;SAN TELMO;COMUNA 1;1103;C1103AAA
-58,4045167989;-34,6114230608;14;2017;REG DE PREST;CACHI;17;44;MISIONES 123;4932 3586;CACHI.HOTELBUE@DDIM.COM.AR;HTTP://DDIM.COM.AR/;MISIONES 123;MISIONES;123;BALVANERA;COMUNA 3;1083;C1083ABC
-58,3767165989;-34,5968143708;15;2017;HOTEL 4;GRAN HOTEL DORA;93;207;MAIPU 959/63;4312-7391;RESERVAS.BUENOSAIRES@PESTANA.COM;HTTP://DORAHOTEL.COM.AR/;MAIPU 959;MAIPU;959;RETIRO;COMUNA 1;1006;C1006ACM
-58,3800834289;-34,5971628908;16;2017;HOTEL 4;EL CONQUISTADOR;134;268;SUIPACHA 948;4328-3012;RESERVATIONS.BUENOSAIRES@HILTON.COM;HTTP://ELCONQUISTADOR.COM.AR/;SUIPACHA 948;SUIPACHA;948;RETIRO;COMUNA 1;1008;C1008AAT
-58,4008618689;-34,5883780908;17;2017;HOTEL 3;EPICO HOTEL;45;90;LAPRIDA 1902;5199-8399;INFO@EPICORECOLETAHOTEL.COM.AR;HTTP://EPICORECOLETAHOTEL.COM.AR/;LAPRIDA 1902;LAPRIDA;1902;RECOLETA;COMUNA 2;1425;C1425EKT
-58,3773094289;-34,6271411508;18;2017;HOTEL 1;BRISAS HOTEL;40;85;TACUARI 1621/25;4300-5076 / 77;INFO@HOTELODEON.COM.AR / HOTELODEON@HOTMAIL.COM;HTTP://FACEBOOK.COM/HOTELBRISASTACUARI1621;TACUARI 1621;TACUARI;1621;CONSTITUCION;COMUNA 1;1139;C1139AAI
-58,3753947489;-34,6042223708;19;2017;REG DE PREST;HOSTEL SUITES FLORIDA;95;200;FLORIDA 328;4773-0806;RESERVAS@AYACUCHOHOTEL.COM.AR;HTTP://FLORIDA.HOSTELSUITES.COM/SP/;328 FLORIDA;FLORIDA;328;SAN NICOLAS;COMUNA 1;1005;C1005AAH
-58,4687014889;-34,5468508208;20;2017;HOSP. A;MANZANARES;23;40;MANZANARES 2331/41;4702-6839;HOTELMANZANARES@GMAIL.COM;HTTP://HMANZANARES.BLOGSPOT.COM.AR/;MANZANARES 2331;MANZANARES;2331;NUÑEZ;COMUNA 13;1429;C1429CUI
