LONG;LAT;EVENTO;FECHA_DESDE;FECHA_HASTA;DIA_DE_LA_SEMANA;DESCRIPCION;DIRECCION;PISO_DPTO;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARG;OBSERVACIONES
-58,388571;-34,604809;ESTUDIO URBANO | BANDAS AL AIRE;07/01/2017;07/01/2017;SABADO;TODOS LOS SABADOS A LAS 00 HS BANDAS AL AIRE EN LA 1110;SARMIENTO 1551;PISO 8;SAN NICOLAS;COMUNA 1;1042;C1042AAO;
-58,390569;-34,604809;ESTUDIO URBANO | BANDAS AL AIRE;14/01/2017;14/01/2017;SABADO;TODOS LOS SABADOS A LAS 00 HS BANDAS AL AIRE EN LA 1110;SARMIENTO 1551;PISO 8;SAN NICOLAS;COMUNA 1;1042;C1042AAO;
-58,430782;-34,604809;ESTUDIO URBANO | BANDAS AL AIRE;21/01/2017;21/01/2017;SABADO;TODOS LOS SABADOS A LAS 00 HS BANDAS AL AIRE EN LA 1110;SARMIENTO 1551;PISO 8;SAN NICOLAS;COMUNA 1;1042;C1042AAO;
-58,430782;-34,604809;ESTUDIO URBANO | BANDAS AL AIRE;28/01/2017;28/01/2017;SABADO;TODOS LOS SABADOS A LAS 00 HS BANDAS AL AIRE EN LA 1110;SARMIENTO 1551;PISO 8;SAN NICOLAS;COMUNA 1;1042;C1042AAO;
-58,439288;-34,604809;ESTUDIO URBANO | BANDAS AL AIRE;04/02/2017;04/02/2017;SABADO;TODOS LOS SABADOS A LAS 00 HS BANDAS AL AIRE EN LA 1110;SARMIENTO 1551;PISO 8;SAN NICOLAS;COMUNA 1;1042;C1042AAO;
-58,439288;-34,604809;ESTUDIO URBANO | BANDAS AL AIRE;11/02/2017;11/02/2017;SABADO;TODOS LOS SABADOS A LAS 00 HS BANDAS AL AIRE EN LA 1110;SARMIENTO 1551;PISO 8;SAN NICOLAS;COMUNA 1;1042;C1042AAO;
-58,439288;-34,604809;ESTUDIO URBANO | BANDAS AL AIRE;18/02/2017;18/02/2017;SABADO;TODOS LOS SABADOS A LAS 00 HS BANDAS AL AIRE EN LA 1110;SARMIENTO 1551;PISO 8;SAN NICOLAS;COMUNA 1;1042;C1042AAO;
-58,439288;-34,604809;ESTUDIO URBANO | BANDAS AL AIRE;25/02/2017;25/02/2017;SABADO;TODOS LOS SABADOS A LAS 00 HS BANDAS AL AIRE EN LA 1110;SARMIENTO 1551;PISO 8;SAN NICOLAS;COMUNA 1;1042;C1042AAO;
-58,388571;-34,605602;FUNCION N 1 BALLET CTBA;03/03/2017;03/03/2017;VIERNES;A DEFINIR HORARIO;GALLARDO, ANGEL AV. Y MARECHAL, LEOPOLDO;;VILLA CRESPO;COMUNA 15;;;
-58,388571;-34,605602;FUNCION N 2 BALLET CTBA;04/03/2017;04/03/2017;SABADO;A DEFINIR HORARIO;GALLARDO, ANGEL AV. Y MARECHAL, LEOPOLDO;;VILLA CRESPO;COMUNA 15;;;
-58,439288;-34,604809;ESTUDIO URBANO | BANDAS AL AIRE;04/03/2017;04/03/2017;SABADO;TODOS LOS SABADOS A LAS 00 HS BANDAS AL AIRE EN LA 1110;SARMIENTO 1551;PISO 8;SAN NICOLAS;COMUNA 1;1042;C1042AAO;
