X;Y;ID;TIPO;CALLE_AUTO;ALTURA;KM;INTERSECCI;VELOCIDAD;DIRECCION_;CALLE_NORM;INTERSEC_1;CODIGO_POS;CODIGO_P_1;LAT_WGS84;LONG_WGS84;BARRIO;COMUNA
-58.4408474889372;-34.6228948707961;1;DETECCION DE VIOLACION DE LUZ ROJA;AV.JUAN B. ALBERDI Y CENTENERA;0;;;0;ALBERDI, JUAN BAUTISTA AV. y BARCO CENTENERA DEL;ALBERDI, JUAN BAUTISTA AV.;BARCO CENTENERA DEL;;;-34.62289487000000300;-58.44084749000000300;CABALLITO;COMUNA 6
-58.5022011889306;-34.6513264207971;2;DETECCION DE VIOLACION DE LUZ ROJA;J.B.ALBERDI Y LARRAZABAL;0;;;0;ALBERDI, JUAN BAUTISTA AV. y LARRAZABAL;ALBERDI, JUAN BAUTISTA AV.;LARRAZABAL;;;-34.65132641999999700;-58.50220119000000100;MATADEROS;COMUNA 9
-58.4584749689335;-34.6044880007991;3;DETECCION DE VIOLACION DE LUZ ROJA;AV.J.B.JUSTO Y AV.SAN MARTIN;0;;;0;JUSTO, JUAN B. AV. y SAN MARTIN AV.;JUSTO, JUAN B. AV.;SAN MARTIN AV.;;;-34.60448800000000300;-58.45847496999999700;VILLA CRESPO;COMUNA 15
-58.4364593189375;-34.6182958907962;4;DETECCION DE VIOLACION DE LUZ ROJA;AV. RIVADAVIA Y ACOYTE;0;;;0;RIVADAVIA AV. y ACOYTE AV.;RIVADAVIA AV.;ACOYTE AV.;;;-34.61829588999999900;-58.43645931999999700;CABALLITO;COMUNA 6
-58.3801634689454;-34.6197568307925;5;DETECCION DE VIOLACION DE LUZ ROJA;BERNARDO DE IRIGOYEN Y CARLOS CALVO;0;;;0;IRIGOYEN, BERNARDO DE y CALVO, CARLOS;IRIGOYEN, BERNARDO DE;CALVO, CARLOS;;;-34.61975683000000000;-58.38016346999999900;CONSTITUCION;COMUNA 1
-58.4488761889333;-34.5827548108007;6;DETECCION DE VIOLACION DE LUZ ROJA;AV. CORDOBA Y  JORGE NEWBERY;0;;;0;CORDOBA AV. y NEWBERY, JORGE AV.;CORDOBA AV.;NEWBERY, JORGE AV.;;;-34.58275480999999700;-58.44887619000000000;CHACARITA;COMUNA 15
-58.521604588927;-34.6390113007996;7;DETECCION DE VIOLACION DE LUZ ROJA;AV. RIVADAVIA;11124;;;0;RIVADAVIA AV. 11124;RIVADAVIA AV.;;1408;C1408AAY;-34.63901130000000000;-58.52160459000000300;LINIERS;COMUNA 9
-58.4285540489386;-34.6182900007958;8;DETECCION DE VIOLACION DE LUZ ROJA;ROSARIO Y AV. LA PLATA;0;;;0;ROSARIO y LA PLATA AV.;ROSARIO;LA PLATA;;;-34.61829000000000200;-58.42855405000000200;CABALLITO;COMUNA 6
-58.4300627889367;-34.5942988207983;9;DETECCION DE VIOLACION DE LUZ ROJA;AV. CORDOBA Y ESCALABRINI ORTIZ;0;;;0;CORDOBA AV. y SCALABRINI ORTIZ, RAUL AV.;CORDOBA AV.;SCALABRINI ORTIZ, RAUL AV.;;;-34.59429881999999900;-58.43006279000000100;PALERMO;COMUNA 14
-58.4291724289369;-34.5948517307982;10;DETECCION DE VIOLACION DE LUZ ROJA;AV. CORDOBA Y ARAOZ;0;;;0;CORDOBA AV. y ARAOZ;CORDOBA AV.;ARAOZ;;;-34.59485173000000200;-58.42917243000000100;PALERMO;COMUNA 14
-58.456076978935;-34.6212000007972;11;DETECCION DE VIOLACION DE LUZ ROJA;AV. AVELLANEDA Y DONATO ALVAREZ;0;;;0;AVELLANEDA AV. y ALVAREZ, DONATO, TTE. GRAL.;AVELLANEDA AV.;ALVAREZ, DONATO, TTE. GRAL.;;;-34.62120000000000200;-58.45607697999999900;CABALLITO;COMUNA 6
-58.503487138926;-34.5870635408038;12;DETECCION DE VIOLACION DE LUZ ROJA;AV. MOSCONI Y ARGERICH;0;;;0;MOSCONI GENERAL AV. y ARGERICH;MOSCONI GENERAL AV.;ARGERICH;;;-34.58706354000000300;-58.50348713999999700;VILLA PUEYRREDON;COMUNA 12
-58.4401591889349;-34.5875980707996;13;DETECCION DE VIOLACION DE LUZ ROJA;AV. CORDOBA Y FITZ ROY;0;;;0;CORDOBA AV. y FITZ ROY;CORDOBA AV.;FITZ ROY;;;-34.58759806999999900;-58.44015919000000300;PALERMO;COMUNA 14
-58.4381790589335;-34.562944760802;14;DETECCION DE VIOLACION DE LUZ ROJA;AV. DEL LIBERTADOR Y FEDERICO LACROCE;0;;;0;DEL LIBERTADOR AV. y LACROZE, FEDERICO;DEL LIBERTADOR AV.;LACROZE, FEDERICO;;;-34.56294476000000100;-58.43817906000000300;PALERMO;COMUNA 14
-58.3738455789445;-34.5935643807948;15;DETECCION DE VIOLACION DE LUZ ROJA;AV. LEANDO N. ALEM Y SAN MARTIN;0;;;0;ALEM, LEANDRO N. AV. y SAN MARTIN;ALEM, LEANDRO N. AV.;SAN MARTIN;;;-34.59356437999999700;-58.37384558000000100;RETIRO;COMUNA 1
-58.3686899989468;-34.6170009707921;16;DETECCION DE VIOLACION DE LUZ ROJA;AV. PASEO COLON E INDEPENDENCIA;0;;;0;PASEO COLON AV. e INDEPENDENCIA AV.;PASEO COLON AV.;INDEPENDENCIA AV.;;;-34.61700096999999900;-58.36869000000000100;SAN TELMO;COMUNA 1
-58.4059707889412;-34.6101160907951;17;DETECCION DE VIOLACION DE LUZ ROJA;AV. RIVADAVIA Y AV. JUJUY;0;;;0;RIVADAVIA AV. y JUJUY AV.;RIVADAVIA AV.;JUJUY AV.;;;-34.61011608999999800;-58.40597078999999800;BALVANERA;COMUNA 3
-58.4056107889431;-34.6371173807924;18;DETECCION DE VIOLACION DE LUZ ROJA;AV. CASEROS Y LA RIOJA;0;;;0;CASEROS AV. y LA RIOJA;CASEROS AV.;LA RIOJA;;;-34.63711737999999900;-58.40561078999999700;PARQUE PATRICIOS;COMUNA 4
-58.3827242589434;-34.5954624107952;19;DETECCION DE VIOLACION DE LUZ ROJA;AV. SANTA FE Y CERRITO;0;;;0;SANTA FE AV. y CERRITO;SANTA FE AV.;CERRITO;;;-34.59546241000000300;-58.38272426000000300;RETIRO;COMUNA 1
-58.3813070789432;-34.5903134207956;20;DETECCION DE VIOLACION DE LUZ ROJA;AV. CARLOS PELLEGRINI;1515;;;0;PELLEGRINI, CARLOS 1515;PELLEGRINI, CARLOS;;1011;C1011AAE;-34.59031342000000100;-58.38130707999999900;RETIRO;COMUNA 1
-58.471371888929;-34.5654500008039;21;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. MONROE Y MELIAN;0;;;0;MONROE AV. y MELIAN AV.;MONROE AV.;MELIAN AV.;;;-34.56544999999999800;-58.47137189000000000;COGHLAN;COMUNA 12
-58.3801883489459;-34.6263653707918;22;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. GARAY Y LIMA;0;;;0;GARAY, JUAN DE AV. y LIMA;GARAY, JUAN DE AV.;LIMA;;;-34.62636537000000200;-58.38018834999999700;CONSTITUCION;COMUNA 1
-58.3814385289458;-34.6277983007918;23;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. BRASIL Y LIMA;0;;;0;BRASIL y LIMA;BRASIL;LIMA;;;-34.62779830000000200;-58.38143852999999700;CONSTITUCION;COMUNA 1
-58.3853589689434;-34.6005058707948;24;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;TALCAHUANO Y VIAMONTE;0;;;0;TALCAHUANO y VIAMONTE;TALCAHUANO;VIAMONTE;;;-34.60050586999999900;-58.38535896999999900;SAN NICOLAS;COMUNA 1
-58.4180692589402;-34.6210874307948;25;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. INDEPENDENCIA Y COLOMBRES;0;;;0;INDEPENDENCIA AV. y COLOMBRES;INDEPENDENCIA AV.;COLOMBRES;;;-34.62108743000000300;-58.41806926000000300;ALMAGRO;COMUNA 5
-58.4126433489392;-34.5947300007971;26;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;SANCHEZ DE BUSTAMANTE Y PARAGUAY;0;;;0;SANCHEZ DE BUSTAMANTE y PARAGUAY;SANCHEZ DE BUSTAMANTE;PARAGUAY;;;-34.59472999999999800;-58.41264335000000300;RECOLETA;COMUNA 2
-58.4766513189294;-34.5830355608025;27;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. LOS INCAS Y GAMARRA;0;;;0;DE LOS INCAS AV. y GAMARRA;DE LOS INCAS AV.;GAMARRA;;;-34.58303555999999900;-58.47665132000000200;PARQUE CHAS;COMUNA 15
-58.4004263189429;-34.6235575007934;28;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. SAN JUAN ESQUINA ALBERTI;0;;;0;SAN JUAN AV. y ALBERTI;SAN JUAN AV.;ALBERTI;;;-34.62355749999999700;-58.40042632000000100;SAN CRISTOBAL;COMUNA 3
-58.479927718933;-34.6412975507967;29;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. DIRECTORIO Y LACARRA;0;;;0;DIRECTORIO AV. y LACARRA;DIRECTORIO AV.;LACARRA;;;-34.64129754999999700;-58.47992771999999900;PARQUE AVELLANEDA;COMUNA 9
-58.4392878189362;-34.6056017507977;30;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. ANGEL GALLARDO Y MARECHAL;0;;;0;GALLARDO, ANGEL AV. y MARECHAL, LEOPOLDO;GALLARDO, ANGEL AV.;MARECHAL, LEOPOLDO;;;-34.60560174999999800;-58.43928781999999700;VILLA CRESPO;COMUNA 15
-58.4323618189363;-34.5927782607986;31;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. CORDOBA Y ARMENIA;0;;;0;CORDOBA AV. y ARMENIA;CORDOBA AV.;ARMENIA;;;-34.59277826000000300;-58.43236181999999700;PALERMO;COMUNA 14
-58.390358328945;-34.6341182207917;32;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. VELEZ SARFIELD Y  AV. CASEROS;0;;;0;VELEZ SARSFIELD AV. y CASEROS AV.;VELEZ SARSFIELD AV.;CASEROS AV.;;;-34.63411821999999800;-58.39035832999999800;PARQUE PATRICIOS;COMUNA 4
-58.4353099989332;-34.5531547608028;33;CONTROLADOR DE INVASION DE SENDA PEATONAL Y VIOLACION DE LUZ ROJA;AV. FIGUEROA ALCORTA Y LA PAMPA;0;;;0;FIGUEROA ALCORTA, PRES. AV. y LA PAMPA;FIGUEROA ALCORTA, PRES. AV.;LA PAMPA;;;-34.55315475999999800;-58.43531000000000100;BELGRANO;COMUNA 13
