ID;NOMBRE;CALLE;ALTURA;CRUCE;OBSEVS;CP;TEL;DIREC_NORM;LAT;LNG
1;BEATO JUAN XXIII;TANDIL;2551;;;C1406HBA;4612-4671;2551 TANDIL;-34.634993982082008;-58.462492425928836
4;MARIA AUXILIADORA;SAN ANTONIO;976;;;C1276ADN;;976 SAN ANTONIO;-34.653296869075646;-58.376423042371208
7;NUESTRA SEÑORA DE COPACABANA;ITAQUI;;CHARRUA;;C1437GVJ;;ITAQUI & CHARRUA;-34.653672429207241;-58.432218322582642
10;NUESTRA SEÑORA DE LA MEDALLA MILAGROSA II;SANTO DOMINGO;3940;;;C1293AGL;;3940 SANTO DOMINGO;-34.655223211032585;-58.405105291008873
11;NUESTRA SEÑORA DE LAS FLORES;GRAL. EUGENIO GARZON;3961;;;C1407HLI;;3961 GARZON EUGENIO GENERAL;-34.643019541169096;-58.476848332968494
12;NUESTRA SEÑORA DE LOS DESAMPARADOS;MORETO;767;;;C1407IYO;;767 MORETO;-34.64485259834079;-58.486540962908194
19;SAGRADOS CORAZONES;CHILAVER;;HUDSON;;C1439GAL;;CHILAVERT, MARTINIANO, CORONEL & HUDSON;-34.68365341167199;-58.472961276367499
22;SAN BLAS;ZAVALETA;;LUJAN;VILLA 21;C1437IFN;;ZAVALETA & LUJAN;-34.657341176448753;-58.399488834880394
23;SAN CAYETANO;ZUVIRIA;6815;;;C1439BEY;;6815 ZUVIRIA;-34.676800278712975;-58.49491310862976
28;SAN JOSE DE LA MONTAÑA;HABANA;3964;;;C1419GRF;;3964 HABANA;-34.597865517989696;-58.513068454584641
32;SAN LUIS REY;MONROE;;HUSARES;;C1428BKF;;MONROE & HUSARES;-34.549693267294025;-58.445121952334176
34;SANTA TERESITA;RIESTRA;;PORTELA;;C1437HJJ;;RIESTRA AV. & PORTELA;-34.656286264479242;-58.450658527485629
35;SANTA TERESITA;SARMIENTO;1272;;;C1041AAZ;;1272 SARMIENTO;-34.605338347686853;-58.384599782020558
36;SEÑOR DE MAILIN;ORMA;3206;LUNA;SECTOR TRES ROSAS;C1286AGB;;ORMA & LUNA;-34.661110931073139;-58.394776323704363
2;LA INMACULADA;WITTE;1630;;;C1407IJH;;;-34.658312695513729;-58.473090776265586
3;JESUS VIVE;ZAVALETA;;SANTO DOMINGO;;;;;-34.655313394467683;-58.399874555185654
5;MARIA AUXILIADORA;;;;CLUB SAN LORENZO DE ALMAGRO;C1437BJH;;;-34.650525869360791;-58.439560415875825
6;NUESTRA SEÑORA DE CAACUPE;MANZANA 3;;;VILLA 31 BIS;;;;-34.582916941898972;-58.381677302780979
8;NUESTRA SEÑORA DE ITATI;MANZANA 13- CASA 83;;;SOLDATI;;;;-34.650205146479109;-58.444665372281932
9;NUESTRA SEÑORA DE LA MEDALLA MILAGROSA I;IGUAZU;;RIACHUELO;SECTOR BARRIO SAN BLAS;C1437EUT;;;-34.659862829696849;-58.400177808254774
14;NUESTRA SEÑORA DE LUJAN;;;;;;;;-34.671224894130923;-58.493933134479406
24;SAN CAYETANO;;;;;;;;-34.672444034516921;-58.492337718888756
26;SAN FRANCISCO;;;;;;;;-34.671303315220719;-58.490352556300415
15;NUESTRA SEÑORA DEL BUEN CONSEJO;SANTA MARIA DEL BUEN AYRE;953;;;C1277ADM;;;-34.654398433186017;-58.380992645596216
16;NUESTRA SEÑORA DEL ROSARIO;MANZANA 16 - CASA 1;;;BARRIO GUEMES - VILLA 31;;;;-34.583064885964042;-58.378627403372448
13;NUESTRA SEÑORA DE LUJAN;MANZANA 13;;;VILLA 31 BIS;;;;-34.58030014406863;-58.387634264955636
20;SAN ANTONIO;MANZANA 8 -CASA 34 BIS;;;;;;;-34.648357880534526;-58.393682157120367
31;SAN JUAN BAUTISTA;MANZANA 28;;;SOLDATI;;;;-34.64828064340162;-58.438593188297894
25;SAN EXPEDITO;MANSANA 5 -CASA 25;;;SECTOR PAVIMENTO ALEGRE;;;;-34.65278911926994;-58.398985543094433
21;SAN ANTONIO DE PADUA;MANZANA 31 - CASA 31;;;;;;;-34.647992989329168;-58.445283568410375
27;SAN JOSE;;;;ANA MARIA JANER Y LACARRA;C1437CJF;;;-34.662689706879029;-58.452453803099722
29;SAN JUAN;MANZANA 2 -CASA 113;;;VILLA 21- SECTOR TIERRA AMARILLA;;;;-34.650953068106432;-58.398489543291284
33;SANTA MARIA DE LABARDEN;MANZANA 18 -CASA 107;;;VILLA 21;;;;-34.652393529376084;-58.398251499217409
37;VIRGEN DE ITATI;MANZANA 5 -CASA 2;;;;;;;-34.65043484797517;-58.397093497793158
38;VIRGEN DEL CARMEN;MANZANA 12 -CASA 110;;;VILLA 21;;;;-34.654304225287369;-58.395637836984065
39;VIRGENCITA DE LUJAN;MARTINEZ CASTRO;2590;STRANGFORD;MANZANA 5 (VILLA 3 -BO.FATIMA);C1407AAP;;2590 MARTINEZ CASTRO;-34.658968608743528;-58.453765082298105
30;SAN JUAN BAUTISTA;;;;;;;;-34.6729689896396;-58.463363922239608
17;NUESTRA SEÑORA QUE DESATA LOS NUDOS;(NHZ ZAVALETA) TIRA 10 - CASA 154;;;;;;;-34.652105687707632;-58.401642441711637
