X;Y;ID;NOMBRE;OBJETO;DOM_NORMA;DOM_GEO;DOM_MAPA;TELEFONO;AREA_PROG;REGION_SAN;COMUNA;BARRIO;JEFE;CELULAR;ESPECIAL;MAIL
-58,49174739;-34,62178797;17;CESAC N° 36;CENTRO DE SALUD COMUNITARIA;MERCEDES 1371;1371 MERCEDES;MERCEDES 1371;4567-1891;VELEZ SARSFIELD;III;COMUNA 10;FLORESTA;DRA. NORA MARCELA LEMA;4567-1891;;cesac36@yahoo.com.ar
-58,44161714;-34,58637267;31;CESAC N° 33;CENTRO DE SALUD COMUNITARIA;CORDOBA AV. 5741;5741 CORDOBA AV.;CORDOBA 5741;4770-9202;TORNU;III;COMUNA 15;CHACARITA;DRA. LAURA BRAND;;;
-58,40998961;-34,63093285;7;CESAC N° 39;CENTRO DE SALUD COMUNITARIA;24 DE NOVIEMBRE 1679;1679 24 DE NOVIEMBRE;24 DE NOVIEMBRE 1679;4911-3576;PENNA;I;COMUNA 4;PARQUE PATRICIOS;DRA. NORMA MARTIN;15-4068-4918;CLINICA, PEDIATRIA, TOCOGINECOLOGIA, MEDICINA GENERAL, PSICOLOGIA, PSICOPEDAGOGIA, FONOAUDIOLOGIA, TRABAJOSOCIAL, NUTRICION, OBSTETRICIA, ODONTOLOGIA.;tabetor@tutopia.com
-58,45563117;-34,65807084;23;CESAC N° 24;CENTRO DE SALUD COMUNITARIA;;;MARTINEZ CASTRO Y LAGUNA (PASAJE L);4637-2002;PIÑERO;II;COMUNA 8;VILLA SOLDATI;DRA. MARCELA CORIN;;SALUD COMUNITARIA , SALUD ESCOLAR , INMUNIZACIONES EN ESCUELAS Y COMEDORES , PROCREACION RESPONSABLE ENFERMEDADES DE TRANSMISION SOCIAL , VIGILANCIA EPIDEMIOLOGICA , CONTROL DEL NIÑO SANO , CONTROL DEL NIÑO DESNUTRIDO EMBARAZADAS GERONTES;mavicorin@hotmail.com
-58,48683662;-34,54764718;28;CESAC N° 27;CENTRO DE SALUD COMUNITARIA;ARIAS 3783;3783 ARIAS;ARIAS 3783;4543-2998;PIROVANO;IV;COMUNA 12;SAAVEDRA;DR. JUAN PABLO GONZALEZ;;PROCREACION RESPONSABLE , ATENCION DEL NIÑO SANO;centro de salud27@gmail.com
-58,4741815;-34,56989907;12;CESAC N° 12;CENTRO DE SALUD COMUNITARIA;OLAZABAL AV. 3960;3960 OLAZABAL AV.;OLAZABAL 3960;4543-2494;PIROVANO;IV;COMUNA 12;VILLA URQUIZA;DRA. KARINA IZA;4543-2494;SALUD COMUNITARIA , TERCERA EDAD (TALLER DE MEMORIA) , SALUD ESCOLAR , PROCREACION RESPONSABLE , VIGILANCIA EPIDEMIOLOGICA , INMUNIZACIONES , APOYO NUTRICIONAL , MATERNOINFANTIL ;cesac12pirovano@hotmail.com
-58,50950497;-34,57655064;11;CESAC N° 2;CENTRO DE SALUD COMUNITARIA;TERRADA 5850;5850 TERRADA;TERRADA 5850;4572-9520/6798/3581;PIROVANO;IV;COMUNA 12;VILLA PUEYRREDON;DR. FRANCISCO AGOSTA;4572-9520;PREVENCION SIDA EN ESCUELAS Y ADOLESCENTES , NUTRICION DEL NIÑO Y DEL ADULTO , CONTROL DE EMBARAZADAS , ALFABETIZACION DEL ADOLESCENTE Y DEL ADULTO , APOYO ESCOLAR A NIVEL SECUNDARIO , CONTROL DEL NIÑO SANO , DACCION DE LECHE , ESTIMULACION TEMPRANA;cesac2pirovano@hotmail.com
-58,3732456;-34,58469047;25;CESAC N° 21;CENTRO DE SALUD COMUNITARIA;;;GENDARMERIA NACIONAL 528 (ENTRE CALLES 6 Y 8);4313-6985;FERNANDEZ;IV;COMUNA 1;RETIRO;DRA. NATALIA LABA;;MATERNO INFANTO JUVENIL , DACION DE LECHE , PROCREACION RESPONSABLE , INMUNIZACIONES , VIGILANCIA EPIDEMIOLOGICA , TUBERCULOSIS , DIABETES , EDUCACION PARA LA SALUD , HIPERTENSION;eugeniacamera@yahoo.com.ar
-58,42564414;-34,58723778;27;CESAC N° 26;CENTRO DE SALUD COMUNITARIA;GURRUCHAGA 1939;1939 GURRUCHAGA;GURRUCHAGA 1939;4897-2156;FERNANDEZ;IV;COMUNA 15;PALERMO;DRA. GLORIA NUÑEZ;4897-2156;PROCREACION RESPONSABLE , APOYO NUTRICIONAL , DACION DE LECHE , SALUD ESCOLAR , PROGRAMA DE ASENTAMIENTOS URBANOS ILEGALES , PREVENCION Y PROTECCION - SUBPROGRAMAS:EXAMENES PERIODICOS DE SALUD ANUALES EN ALUMNOS SECUNDARIOS , NATACION EXAMENES EN NIÑOS;aligromero@yahoo.com
-58,3705607;-34,5890426;26;CESAC N° 25;CENTRO DE SALUD COMUNITARIA;ANTARTIDA ARGENTINA AV. Y LETONIA;ANTARTIDA ARGENTINA AV. & LETONIA;ANTARTIDA ARGENTINA AV. Y LETONIA S/N ENTRE ANTARTIDA ARG. Y COMODORO PY;4315-1553;FERNANDEZ;IV;COMUNA 1;RETIRO;DR. HORACIO ROQUE;15-4564-3259;SALUD COMUNITARIA , SALUD ESCOLAR , VIGILANCIA EPIDEMIOLOGICA , INMUNIZACIONES , TUBERCULOSIS , SIDA , PROCREACION RESPONSABLE , MATERNO INFANTIL , NIÑO SANO , CONTROL DE DIABETES E HIPERTENSION ARTERIAL , DETECCION PRECOZ DEL CANCER DE CUELLO UTERINO;hmroque@intramed.net
