X;Y;ID;NOMBRE;TIPO;TIPO_NORMA;SEDE;DIRECCION;OBSERVACIONES_DIRECCION;TELEFONO;E_MAIL;FACEBOOK;WEB;ACTIVIDADE;INSTALACIO;CALLE;ALTURA;CALLE2;DIRECCION_;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-58.5105984580064;-34.5777917190482;64;17 DE AGOSTO;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;ALBARELLOS 2935;;4572-1106;C17DEAGOSTO@YAHOO.COM.AR -  C17DEAGOSTO@HOTMAIL.COM;;WWW.CLUB17DEAGOSTO.COM.AR;BABY, FUTSAL MASCULINO Y FEMENINO, BASQUET MASCULINO Y FEMENINO, BOCHAS, NATACION, GIMNASIA DEPORTIVA, MUSCULACION, TENIS, ARTES MARCIALES. ACTIVIDADES CULTURALES.;CANCHAS - SALONES - NATATORIO;ALBARELLOS AV.;2935;;ALBARELLOS AV. 2935;VILLA PUEYRREDON;COMUNA 12;1419;C1419FSG
-58.513892006414;-34.6557274245575;231;25 DE MAYO 1810;CLUB DE BARRIO;CLUB_DE_BARRIO;;COSQUIN 1651;;4687-5179;;;;;;COSQUIN;1651;;COSQUIN 1651;MATADEROS;COMUNA 9;1440;C1440ELE
-58.4747664234414;-34.5895430979502;34;AGRONOMIA CENTRAL;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;BAUNESS 958;;4524-2225;CLUBAGRONOMIACENTRAL@GMAIL.COM;CLUB AGRONOMIA CENTRAL;WWW.CLUBAGRONOMIACENTRAL.WORDPRESS.COM;VOLEY, BASQUET, BABY FUTBOL, PATIN, BOXEO, GIMNASIA, FUTSAL, FUTBOL FEMENINO;CANCHAS - SALON;BAUNESS;958;;BAUNESS 958;PARQUE CHAS;COMUNA 15;1427;C1427BCL
-58.4797132548571;-34.5492816205471;188;AGRUPACION SAN JORGE;CLUB;CLUB;UNICA;VILELA 3340;;4542-0585;;;;ESCUELA DE FUTBOL INFANTIL EN CANCHA DE CESPED, ESCUELA DE FUTBOL FEMENINO, FUTBOL FEMENINO EN CANCHA DE CESPED, BOXEO RECREATIVO MIXTO, AEROBICA MIXTA, GIMNASIO DE MUSCULACION. ACTIVIDADES CULTURALES.;2 CANCHAS DE CESPED Y TIERRA  - CANCHA POLIDEPORTIVA DE CEMENTO - NATATORIO DESCUBIERTO - SOLARIUM RECREATIVO - PARRILLAS  - SUM;VILELA;3340;;VILELA 3340;SAAVEDRA;COMUNA 12;1429;C1429DCD
-58.417726777716;-34.6164754639223;209;AGRUPACION SUBATLANTICA DE EXPEDICIONES SUBMARINAS JULES ROSSI;CLUB DE BARRIO;CLUB_DE_BARRIO;;QUITO 3657;;4931-6746;INFO@ASES.ORG.AR - ASESBUCEO@FIBERTEL.COM.AR;ASES ESCUELA DE BUCEO ORGANIZACION SIN FINES DE LUCRO;;BUCEO DEPORTIVO;NATATORIO -  ?CAMARA HIPERBARICA?;QUITO;3657;;QUITO 3657;ALMAGRO;COMUNA 5;1212;C1212ABA
-58.4167746298212;-34.5630140605633;123;ALEMAN DE EQUITACION;CLUB;CLUB;UNICA;AV. DORREGO 4045;;4772-6289;CAEHIPICO@HOTMAIL.COM;CLUB ALEMAN DE EQUITACION;WWW.CLUBALEMANDEEQUITACION.COM;EQUITACION - SALTO - VOLTEO;PISTAS - CABALLERIZAS - PISTA CUBIERTA - NATATORIO - BOXES - PARQUE  - VALLAS - CONFITERIAS - SALON DE EVENTOS;DORREGO AV.;4045;;DORREGO AV. 4045;PALERMO;COMUNA 14;1415;C1425GBE
-58.477960600226;-34.5478618359252;39;ALL BOYS DE SAAVEDRA;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;BESARES 3142;;4541-8338;ALLBOYS_SAAVEDRA@YAHOO.COM.AR;ALL BOYS DE SAAVEDRA - VOLEY;WWW.ALLBOYSSAAVEDRA.COM.AR;BOXEO, ARTES MARCIALES, DANZAS, GIMNASIA AEROBICA, VOLEY, BASQUET, FUTSAL, BABY, ESCALADA DEPORTIVA, INDOOR BIKE, PILATES. ACTIVIDADES CULTURALES.;BIBLIOTECA - GIMNASIO - SALON - CANCHAS;BESARES;3142;;BESARES 3142;SAAVEDRA;COMUNA 12;1429;C1429DJD
-58.4213499363396;-34.6044698390765;212;ALMAGRO ASOCIACION CIVIL;CLUB;CLUB;SEDE CENTRAL, TAMBIEN TIENE ANEXO EN PROVINCIA;MEDRANO 522;;5408-0053;INFO@CLUBALMAGRO.COM.AR;ALMAGRO  EQUIPO DEPORTIVO;WWW.CLUBALMAGRO.COM.AR;BABY, PATIN, BASQUET, VOLEY, ARTES MARCIALES, GIMNASIA CON APARATOS, NATACION.;1 CANCHA FUTSAL - 3 SALONES - NATATORIO - TAMBIEN ESTADIO 3 DE FEBRERO  SITUADO EN LA LOCALIDAD ARGENTINA DE JOSE INGENIEROS, EN EL PARTIDO DE TRES DE FEBRERO, EN LA PROVINCIA DE BUENOS AIRES;MEDRANO AV.;522;;MEDRANO AV. 522;ALMAGRO;COMUNA 5;1179;C1179AAJ
-58.4294921451438;-34.6089126425134;160;ALMAGRO BOXING CLUB;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;DIAZ VELEZ 4422;;4982-6529 / 4865-1471;ALMAGROBOXINGCLUB@GMAIL.COM;ALMAGRO BOXING CLUB;WWW.ALMAGROBOXINGCLUB.COM.AR;BOXEO RECREATIVO. BOXEO COMPETITIVO. GIMNASIA DE BOXEO. AMBOS SEXOS. TODAS LAS EDADES.;GIMNASIO;DIAZ VELEZ AV.;4422;;DIAZ VELEZ AV. 4422;ALMAGRO;COMUNA 5;1200;C1200AAY
-58.4827415250818;-34.6419039011572;58;ALVEAR CLUB;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;JOSE E. RODO 4190;;4636-0183;ALVEARCLUB@OUTLOOK.COM;;;FUTBOL (CANCHA DE 11 - LIGA METROPOLITANA, FAFI, CAFI), FUTSAL (AFA), TAEKWONDO, TENIS, TENIS DE MESA Y GIMNASIO DE APARATOS;;RODO, JOSE E.;4190;;RODO, JOSE E. 4190;PARQUE AVELLANEDA;COMUNA 9;1407;C1407HDJ
-58.4731793020509;-34.6438069611778;88;AMERICA DEL SUD;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;FRANCISCO BILBAO 3760;;4671-6946;;;;FUTBOL (ESCUELITA Y COMPETICION -FAFI-), FUTSAL (AFA), TAEKWONDO, PATIN, ACROBACIA, GIMNASIA MODELADORA Y AEROBICA, GIMNASIO DE MUSCULACION, NATACION (ESCUELA Y PILETA LIBRE), AQUAGYM Y BASQUET MASCULINO. DANZA ARABE Y TANGO.;NATATORIO CLIMATIZADO - SALON - GIMNASIO - CANCHA;BILBAO, FRANCISCO AV.;3760;;BILBAO, FRANCISCO AV. 3760;PARQUE AVELLANEDA;COMUNA 9;1407;C1407HOF
-58.4862552840372;-34.5600371087135;142;APOLO MACHAIN SAAVEDRA;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;MACHAIN 3517;;4541-1652;;;;DANZA, TANGO, TAEKWONDO, GIMNASIA AEROBICA - MODELADORA - CON APARATOS;1 SALON;MACHAIN;3517;;MACHAIN 3517;SAAVEDRA;COMUNA 12;1430;C1430DYK
-58.4861070356894;-34.6587252332728;43;ARGENTINO;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;ALBARIÑO 2253;;4682-2045;CLUBARGENTINO.MATADEROS@GMAIL.COM;;;BABY, GIMNASIA Y ARTES MARCIALES;BIBLIOTECA - 2 SALONES;ALBARIÑO;2253;;ALBARIÑO 2253;MATADEROS;COMUNA 9;1440;C1440DFG
-58.4848676617077;-34.5894440694106;106;ARQUITECTURA;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;AVDA. FRANCISCO BEIRO 2116;;4523-7306;CLUBARQUITECTURA@HOTMAIL.COM;;;NATACION, TENIS, HOCKEY FEMENINO, FUTBOL, BASQUET, PATIN, YOGA, TAEKWONDO, GIMNASIA ARTISTICA, GIMNASIA (DAMAS Y CABALLEROS) Y BOXEO. FOLKLORE Y TANGO.;CANCHA - SALONES - NATATORIO CLIMATIZADO - CANCHAS DE TENIS -CANCHA DE HOCKEY SINTETICA;BEIRO, FRANCISCO AV.;2116;;BEIRO, FRANCISCO AV. 2116;AGRONOMIA;COMUNA 15;1419;C1419HXN
-58.4240045928561;-34.5924401618088;192;ASOCIACION ARGENTINA DE SORDOMUDOS;CLUB DE BARRIO;CLUB_DE_BARRIO;UNICA;JULIAN ALVAREZ 1544;O JULIAN ALVAREZ 1546;;CLUB.ASO@GMAIL.COM;ASO1973;WWW.ASO.ORG.AR;VOLEY MASCULINO Y FEMENINO - FUTBOL DE 11 MASCULINO - FUTSAL MASCULINO Y FEMENINO - BASQUET MASCULINO - BOWLING MASCULINO Y FEMENINO - PESCA DEPORTIVA;1 SALON  - 1 SALA DE REUNIONES - 1 PATIO DESCUBIERTO;ALVAREZ, JULIAN;1544;;ALVAREZ, JULIAN 1544;PALERMO;COMUNA 14;1414;C1414DSF
