PERIODO;LINEA;DIA;ORDEN;TREN;SAL_C1;SAL_C2;INT_C1;INT_C2;FORM;OBSERVACIONES;
2015;A;DOMINGO;1;4;SALIDA ADELANTADA;07:45:00;;;5;;
2015;A;DOMINGO;2;5;07:32:00;08:00:30;;;5;;
2015;A;DOMINGO;3;6;07:42:00;08:09:30;;09:00;5;;
2015;A;DOMINGO;4;7;07:52:00;08:20:00;;10:30;5;;
2015;A;DOMINGO;5;1;08:00:00;08:28:00;08:00;08:00;5;;
2015;A;DOMINGO;6;2;08:08:00;08:36:00;08:00;08:00;5;;
2015;A;DOMINGO;7;3;08:16:00;08:44:00;08:00;08:00;5;;
2015;A;DOMINGO;8;4;08:24:00;08:52:00;08:00;08:00;5;;
2015;A;DOMINGO;9;5;08:32:00;09:00:00;08:00;08:00;5;;
2015;A;DOMINGO;10;6;08:40:00;09:08:00;08:00;08:00;5;;
2015;A;DOMINGO;11;7;08:48:00;09:16:00;08:00;08:00;5;;
2015;A;DOMINGO;12;1;08:56:00;09:24:00;08:00;08:00;5;;
2015;A;DOMINGO;13;2;09:04:00;09:32:00;08:00;08:00;5;;
2015;A;DOMINGO;14;3;09:12:00;09:40:00;08:00;08:00;5;;
2015;A;DOMINGO;15;4;09:20:00;09:48:00;08:00;08:00;5;;
2015;A;DOMINGO;16;5;09:28:00;09:56:00;08:00;08:00;5;;
2015;A;DOMINGO;17;6;09:36:00;10:04:00;08:00;08:00;5;;
2015;A;DOMINGO;18;7;09:44:00;10:12:00;08:00;08:00;5;;
2015;A;DOMINGO;19;1;09:52:00;10:20:00;08:00;08:00;5;;
2015;A;DOMINGO;20;2;10:00:00;10:28:00;08:00;08:00;5;;
2015;A;DOMINGO;21;3;10:08:00;10:36:00;08:00;08:00;5;;
2015;A;DOMINGO;22;4;10:16:00;10:44:00;08:00;08:00;5;;
2015;A;DOMINGO;23;5;10:24:00;10:52:00;08:00;08:00;5;;
2015;A;DOMINGO;24;6;10:32:00;11:00:00;08:00;08:00;5;;
2015;A;DOMINGO;25;7;10:40:00;11:08:00;08:00;08:00;5;;
2015;A;DOMINGO;26;1;10:48:00;11:16:00;08:00;08:00;5;;
2015;A;DOMINGO;27;2;10:56:00;11:24:00;08:00;08:00;5;;
2015;A;DOMINGO;28;3;11:04:00;11:32:00;08:00;08:00;5;;
2015;A;DOMINGO;29;4;11:12:00;11:40:00;08:00;08:00;5;;
2015;A;DOMINGO;30;5;11:20:00;11:48:00;08:00;08:00;5;;
2015;A;DOMINGO;31;6;11:28:00;11:56:00;08:00;08:00;5;;
2015;A;DOMINGO;32;7;11:36:00;12:04:00;08:00;08:00;5;;
2015;A;DOMINGO;33;1;11:44:00;12:12:00;08:00;08:00;5;;
2015;A;DOMINGO;34;2;11:52:00;12:20:00;08:00;08:00;5;;
2015;A;DOMINGO;35;3;12:00:00;12:28:00;08:00;08:00;5;;
2015;A;DOMINGO;36;4;12:08:00;12:36:00;08:00;08:00;5;;
2015;A;DOMINGO;37;5;12:16:00;12:44:00;08:00;08:00;5;;
