PERIODO;LINEA;TIPO_DIA;ORDEN;TREN;SAL_C1;SAL_C2;INT_C1;INT_C2;FORM;OBSERVACIONES
2015;A;HABIL;1;2;SALIDA ADELANTADA;SALIDA ADELANTADA;;;5;
2015;A;HABIL;2;3;SALIDA ADELANTADA;SALIDA ADELANTADA;;;5;
2015;A;HABIL;3;4;SALIDA ADELANTADA;4:56:00;;;5;
2015;A;HABIL;4;5;SALIDA ADELANTADA;5:00:30;;4:30:00;5;
2015;A;HABIL;5;6;SALIDA ADELANTADA;5:10:00;;9:30:00;5;
2015;A;HABIL;6;7;4:52:00;5:20:00;;10:00:00;5;
2015;A;HABIL;7;1;5:00:00;5:28:15;8:00:00;8:15:00;5;
2015;A;HABIL;8;2;5:08:00;5:36:15;8:00:00;8:00:00;5;
2015;A;HABIL;9;3;5:16:00;5:44:15;8:00:00;8:00:00;5;
2015;A;HABIL;10;4;5:24:00;5:52:15;8:00:00;8:00:00;5;
2015;A;HABIL;11;5;5:32:00;6:00:15;8:00:00;8:00:00;5;
2015;A;HABIL;12;6;5:40:00;6:08:15;8:00:00;8:00:00;5;
2015;A;HABIL;13;7;5:48:00;6:16:15;8:00:00;8:00:00;5;
2015;A;HABIL;14;1;5:56:00;6:24:15;8:00:00;8:00:00;5;
2015;A;HABIL;15;2;6:04:00;6:32:15;8:00:00;8:00:00;5;
2015;A;HABIL;16;3;6:12:00;6:40:15;8:00:00;8:00:00;5;
2015;A;HABIL;17;4;6:19:45;6:47:45;7:45:00;7:30:00;5;
2015;A;HABIL;18;5;6:28:00;6:56:30;8:15:00;8:45:00;5;
2015;A;HABIL;19;6;6:36:00;7:04:15;8:00:00;7:45:00;5;
2015;A;HABIL;20;7;6:44:00;7:12:00;8:00:00;7:45:00;5;
2015;A;HABIL;21;1;6:52:00;7:20:15;8:00:00;8:15:00;5;
2015;A;HABIL;22;8;6:57:45;7:26:57;5:45:00;6:42:00;5;
2015;A;HABIL;23;2;7:03:24;7:32:45;5:39:00;5:48:00;5;
2015;A;HABIL;24;3;7:09:06;7:38:21;5:42:00;5:36:00;5;
2015;A;HABIL;25;4;7:15:30;7:44:30;6:24:00;6:09:00;5;
2015;A;HABIL;26;9;7:20:00;7:49:00;4:30:00;4:30:00;5;
2015;A;HABIL;27;5;7:25:48;7:54:48;5:48:00;5:48:00;5;
2015;A;HABIL;28;6;7:31:45;8:00:45;5:57:00;5:57:00;5;
2015;A;HABIL;29;10;7:37:30;8:06:30;5:45:00;5:45:00;5;
2015;A;HABIL;30;7;7:43:00;8:12:00;5:30:00;5:30:00;5;
2015;A;HABIL;31;1;7:49:00;8:18:00;6:00:00;6:00:00;5;
2015;A;HABIL;32;11;7:52:45;8:21:45;3:45:00;3:45:00;5;
2015;A;HABIL;33;8;7:56:30;8:25:30;3:45:00;3:45:00;5;
2015;A;HABIL;34;2;8:00:30;8:29:30;4:00:00;4:00:00;5;
2015;A;HABIL;35;12;8:04:15;8:33:15;3:45:00;3:45:00;5;
2015;A;HABIL;36;3;8:08:15;8:37:30;4:00:00;4:15:00;5;
2015;A;HABIL;37;4;8:12:24;8:41:24;4:09:00;3:54:00;5;
2015;A;HABIL;38;9;8:16:30;8:45:30;4:06:00;4:06:00;5;
2015;A;HABIL;39;13;8:20:18;8:49:18;3:48:00;3:48:00;5;
2015;A;HABIL;40;5;8:24:06;8:53:06;3:48:00;3:48:00;5;
2015;A;HABIL;41;6;8:28:15;8:57:15;4:09:00;4:09:00;5;
2015;A;HABIL;42;14;8:32:00;9:01:00;3:45:00;3:45:00;5;
2015;A;HABIL;43;10;8:35:45;9:04:48;3:45:00;3:48:00;5;
2015;A;HABIL;44;7;8:39:42;9:08:42;3:57:00;3:54:00;5;
2015;A;HABIL;45;15;8:43:30;9:12:30;3:48:00;3:48:00;5;
2015;A;HABIL;46;1;8:47:15;9:16:15;3:45:00;3:45:00;5;
2015;A;HABIL;47;11;8:51:00;9:20:00;3:45:00;3:45:00;5;
2015;A;HABIL;48;8;8:55:00;9:24:00;4:00:00;4:00:00;5;
2015;A;HABIL;49;2;8:58:45;9:27:45;3:45:00;3:45:00;5;
2015;A;HABIL;50;12;9:03:00;9:32:00;4:15:00;4:15:00;5;
2015;A;HABIL;51;3;9:07:00;9:36:00;4:00:00;4:00:00;5;
2015;A;HABIL;52;4;9:10:54;9:40:00;3:54:00;4:00:00;5;
2015;A;HABIL;53;9;9:14:48;9:43:48;3:54:00;3:48:00;5;
2015;A;HABIL;54;13;9:18:42;9:47:42;3:54:00;3:54:00;5;
2015;A;HABIL;55;5;9:22:36;9:51:36;3:54:00;3:54:00;5;
2015;A;HABIL;56;6;9:26:30;9:55:30;3:54:00;3:54:00;5;
2015;A;HABIL;57;14;9:30:18;9:59:18;3:48:00;3:48:00;5;
2015;A;HABIL;58;10;9:34:18;10:03:18;4:00:00;4:00:00;5;
2015;A;HABIL;59;7;9:38:12;10:07:15;3:54:00;3:57:00;5;
2015;A;HABIL;60;15;9:42:06;10:11:15;3:54:00;4:00:00;5;
2015;A;HABIL;61;1;9:46:00;10:15:00;3:54:00;3:45:00;5;
2015;A;HABIL;62;11;9:50:30;10:19:00;4:30:00;4:00:00;5;
2015;A;HABIL;63;2;9:55:15;10:23:45;4:45:00;4:45:00;5;
2015;A;HABIL;64;12;9:59:30;10:28:00;4:15:00;4:15:00;5;
2015;A;HABIL;65;3;10:03:45;10:32:15;4:15:00;4:15:00;5;
2015;A;HABIL;66;4;10:07:30;10:36:45;3:45:00;4:30:00;5;
2015;A;HABIL;67;9;10:13:12;10:41:42;5:42:00;4:57:00;5;
2015;A;HABIL;68;13;10:17:30;10:46:00;4:18:00;4:18:00;5;
2015;A;HABIL;69;5;10:22:00;10:50:30;4:30:00;4:30:00;5;
2015;A;HABIL;70;14;10:27:00;10:55:45;5:00:00;5:15:00;5;
2015;A;HABIL;71;10;10:31:00;10:59:30;4:00:00;3:45:00;5;
2015;A;HABIL;72;7;10:35:00;11:04:00;4:00:00;4:30:00;5;
2015;A;HABIL;73;15;10:40:30;11:09:00;5:30:00;5:00:00;5;
2015;A;HABIL;74;1;10:44:30;11:13:15;4:00:00;4:15:00;5;
2015;A;HABIL;75;2;10:51:15;11:19:36;6:45:00;6:21:00;5;
2015;A;HABIL;76;12;10:56:12;11:25:27;4:57:00;5:51:00;5;
2015;A;HABIL;77;3;11:02:15;11:31:18;6:03:00;5:51:00;5;
2015;A;HABIL;78;4;11:07:54;11:37:09;5:39:00;5:51:00;5;
2015;A;HABIL;79;13;11:13:45;11:43:00;5:51:00;5:51:00;5;
