X;Y;ID;NOMBRE;DIRECCION;PISO_DPTO;CP;CPA;BARRIO;COMUNA;DIAS_Y_HOR;TELEFONOS;EMAIL;WEB;ACTIVIDAD;DEPENDE;PUBLICO;SECTOR;ACTIV
-34.613280212962216;-58.37324415144982;1;CASA DEL HISTORIADOR - ARCHIVO HISTORICO DE LA CIUDAD DE BUENOS AIRES;BOLIVAR 466;PB;1066;C1066AAJ;MONSERRAT;COMUNA 1;LUNES A VIERNES DE 9:00 A 17:00.;4339-1900 / 4339-1910;ARCHIVOHISTORICO@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/PATRIMONIO_INSTITUTO_HISTORICO/?MENU_ID=29468/;ARCHIVO;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PATRIMONIO E INSTITUTO HISTORICO;GENERAL;ESTADO MUNICIPAL;
-34.61365185735642;-58.37282141710273;2;ESPACIO VIRREY LINIERS;VENEZUELA 469;;1095;C1095AAI;MONSERRAT;COMUNA 1;MARTES A DOMINGOS 14:00 A 19:00.;4339-1900 / 4339-1910;NSABATINI@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/PATRIMONIO_INSTITUTO_HISTORICO/?MENU_ID=29468;ARCHIVO;MINISTERIO DE CULTURA - DIRECCION GENERAL DE PATRIMONIO E INSTITUTO HISTORICO;GENERAL;ESTADO MUNICIPAL;
-34.6837985108359;-58.465107333426495;3;BIBLIOTECA  CANONIGO LUIS JOSE DE CHORROARIN;SOLDADO DE LA FRONTERA AV. 5059;PISO 1 BLOCK 23;1439;C1439FPC;VILLA LUGANO;COMUNA 8;LUNES A VIERNES 9:00 A 16:00.;4605-9341;BIBLIOTECA_CHORROARIN@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.61471499877051;-58.38814024640189;4;BIBLIOTECA ALFONSINA STORNI;VENEZUELA 1538;PISO 1;1095;C1095ABF;MONSERRAT;COMUNA 1;LUNES A VIERNES DE 9:00 A 19:00;4381-9345;BIBLIOTECA_STORNI@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.685001245168735;-58.463550921738;5;BIBLIOTECA ALVARO YUNQUE;SOLDADO DE LA FRONTERA AV. 5210;BLOCK 28;1439;C1439FPH;VILLA LUGANO;COMUNA 8;LUNES A VIERNES DE 10:00 A 17:00.;4605-0603;BIBLIOTECA_YUNQUE@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;NIÑOS;ESTADO MUNICIPAL;
-34.59931194686649;-58.51089314204147;6;BIBLIOTECA ANTONIO DEVOTO (CON ANEXO INFANTIL);BAHIA BLANCA 4025;PB;1419;C1419BAI;VILLA DEVOTO;COMUNA 11;LUNES A VIERNES DE 8:00 A 18:00.;4501-4320;BIBLIOTECA_DEVOTO@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.59135290571172;-58.45036405033721;7;BIBLIOTECA BALDOMERO FERNANDEZ MORENO;ARENAL, CONCEPCION 4206;PB;1427;C1427EKR;CHACARITA;COMUNA 15;LUNES A VIERNES DE 12:00 A 19:00 HS - SAB. DOM. Y FERIADOS: 9 A 20 HS;4855-7508;BIBLIOTECA_MORENO@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.66767204245092;-58.496870740204436;8;BIBLIOTECA BENITO LYNCH (CON ANEXO INFANTIL);YRUPE 6714;PB;1440;C1440BND;MATADEROS;COMUNA 9;LUNES A VIERNES DE 10:00 A 17:00.;4687-1977;BIBLIOTECA_LYNCH@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.56872108792546;-58.50724025571019;9;BIBLIOTECA BRIGADIER GENERAL CORNELIO SAAVEDRA;LARRALDE, CRISOLOGO AV. 6293;;1431;C1431AQE;SAAVEDRA;COMUNA 12;LUNES A VIERNES DE 9.00 A 16:00.;4571-2538;BIBLIOTECA_SAAVEDRA@BUENOSAIRES.GOB.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
-34.581349743666664;-58.42387506537188;10;BIBLIOTECA CARLOS GUIDO Y SPANO;GUEMES 4601;PB;1425;C1425BLI;PALERMO;COMUNA 14;LUNES A VIERNES DE 9:00 A 19:00.;4773-5862;BIBLIOTECAGUIDOYSPANO@YAHOO.COM.AR;HTTP://WWW.BUENOSAIRES.GOV.AR/AREAS/CULTURA/DG_LIBRO;BIBLIOTECA;MINISTERIO DE CULTURA - DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;GENERAL;ESTADO MUNICIPAL;
