"Origen","Destino","Booking"
"9 De Julio, Argentina","Parana, Argentina",1
"9 De Julio, Argentina","Viedma, Argentina",2
"Adrogue, Argentina","La Lucila Del Mar, Argentina",2
"Adrogue, Argentina","Mar De Ajo, Argentina",3
"Adrogue, Argentina","Mar Del Plata, Argentina",15
"Adrogue, Argentina","Mar Del Tuyu, Argentina",1
"Adrogue, Argentina","Miramar, Argentina",3
"Adrogue, Argentina","Pinamar, Argentina",3
"Adrogue, Argentina","San Bernardo, Argentina",2
"Adrogue, Argentina","Santa Teresita, Argentina",1
"Adrogue, Argentina","Villa Gesell, Argentina",2
"Aguaray, Argentina","Salta, Argentina",1
"Aguilares, Argentina","Buenos Aires, Argentina",3
"Aguilares, Argentina","El Talar De Pacheco, Argentina",1
"Aguilares, Argentina","San Justo, Argentina",1
"Albardon, Argentina","Albardon, Argentina",7
"Alberti, Argentina","Alberti, Argentina",1
"Allen, Argentina","Allen, Argentina",53
"Allen, Argentina","Mendoza, Argentina",1
"Almafuerte, Argentina","Almafuerte, Argentina",75
"Almafuerte, Argentina","Mar Del Plata, Argentina",1
"Almafuerte, Argentina","Mendoza, Argentina",5
"Almafuerte, Argentina","San Rafael, Argentina",1
"Alta Gracia, Argentina","Alta Gracia, Argentina",173
"Alumine, Argentina","Alumine, Argentina",3
"Amaicha Del Valle, Argentina","Amaicha Del Valle, Argentina",21
"Apostoles, Argentina","El Talar De Pacheco, Argentina",1
"Arrecifes, Argentina","Pinamar, Argentina",1
"Arroyito, Argentina","Cordoba, Argentina",1
"Arroyito, Argentina","San Francisco, Argentina",1
"Arroyo Seco, Argentina","Arroyo Seco, Argentina",4
"Arroyo Seco, Argentina","Buenos Aires, Argentina",1
"Avellaneda, Argentina","Chascomus, Argentina",3
"Avellaneda, Argentina","Cordoba, Argentina",1
"Avellaneda, Argentina","Cosquin, Argentina",1
"Avellaneda, Argentina","Las Toninas, Argentina",1
"Avellaneda, Argentina","Mar De Ajo, Argentina",4
"Avellaneda, Argentina","Mar Del Plata, Argentina",25
"Avellaneda, Argentina","Mar Del Tuyu, Argentina",1
"Avellaneda, Argentina","Miramar, Argentina",1
"Avellaneda, Argentina","Pinamar, Argentina",17
"Avellaneda, Argentina","Rosario, Argentina",2
"Avellaneda, Argentina","San Bernardo, Argentina",6
"Avellaneda, Argentina","San Clemente Del Tuyu, Argentina",2
"Avellaneda, Argentina","Santa Teresita, Argentina",4
"Avellaneda, Argentina","Villa Carlos Paz, Argentina",1
"Avellaneda, Argentina","Villa Gesell, Argentina",16
"Azul, Argentina","Azul, Argentina",30
"Azul, Argentina","Buenos Aires, Argentina",19
"Azul, Argentina","La Plata, Argentina",7
