X;Y;NOMBRE;DOMICILIO;IMAGEN;AUTOMAT;OBSERV;NRO_EST;HORARIO;DIRE_NORM
-58.392452073017;-34.5831330757635;FACULTAD DE DERECHO;AV. PRES.FIGUEROA ALCORTA Y  JUAN A.BIBILONI;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);1;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;FIGUEROA ALCORTA, PRES. AV. Y BIBILONI, JUAN A.
-58.3748217877563;-34.5925888097729;RETIRO;AV. DR.JOSE RAMOS MEJIA Y DEL LIBERTADOR AV;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);2;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;DEL LIBERTADOR AV. Y RAMOS MEJIA, JOSE MARIA, DR. AV.
-58.3689178425541;-34.6112420249771;ADUANA;AV. ING.HUERGO Y AV. BELGRANO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);3;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;HUERGO, ING. AV. Y BELGRANO AV.
-58.3689503833679;-34.6017210875929;PLAZA ROMA;LAVALLE Y BOUCHARD;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);4;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;LAVALLE Y BOUCHARD
-58.3693603511372;-34.6279470454629;PARQUE LEZAMA;AV MARTIN GARCIA E IRALA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);6;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;GARCIA, MARTIN AV. E IRALA
-58.420997041078;-34.5801273443074;PLAZA ITALIA;AV. SANTA FE Y AV. SARMIENTO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);5;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;SARMIENTO AV. Y CALZADA CIRCULAR PLAZA ITALIA
-58.3809896041082;-34.6058404963166;OBELISCO;AV. 9 DE JULIO Y TTE. GRAL JUAN DOMINGO PERON;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);7;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;PELLEGRINI, CARLOS Y PERON, JUAN DOMINGO, TTE. GENERAL
-58.3892532601533;-34.6099304592001;CONGRESO;AV. HIPOLITO YRIGOYEN Y VIRREY CEBALLOS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);8;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;YRIGOYEN, HIPOLITO AV. Y CEVALLOS, VIRREY
-58.4071446712567;-34.5839145725724;PARQUE LAS HERAS;PARQUE LAS HERAS;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);9;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;DIAZ, CNEL. AV. Y FRENCH
-58.3657458611297;-34.6155514279975;PUERTO MADERO - UCA;MOREAU DE JUSTO 1500;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);10;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1500 MOREAU DE JUSTO, ALICIA AV.
-58.3850216107216;-34.6013128134582;TRIBUNALES;TRIBUNALES;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);11;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;651 TALCAHUANO
-58.3889488675196;-34.5931772798824;PLAZA VICENTE LOPEZ;PLAZA VICENTE LOPEZ;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);12;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;PARANA Y JUNCAL
-58.4065992807793;-34.6096220036013;ONCE;PLAZA MISERERE;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);13;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;RIVADAVIA AV. Y PUEYRREDON AV.
-58.4263198647396;-34.5777874974914;PACIFICO;PACIFICO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);14;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;580 BULLRICH, INT. AV.
-58.3985214522976;-34.5991898492147;PLAZA HOUSSAY;PLAZA HOUSSAY;ESTACION_AUTOMATICA.PNG;AUTOMATICA;NUEVA ESTACION! - SE PASO DE MANUAL A AUTOMATICA EN JUNIO 2015;43;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;CORDOBA AV. Y URIBURU JOSE E., PRES.
-58.374717240582;-34.6099593400598;LEGISLATURA (EX PLAZA DE MAYO);PERU Y DIAGONAL SUR;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);16;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;PERU Y ROCA, JULIO A., PRESIDENTE AV.
-58.4188322144416;-34.6063985250933;PLAZA ALMAGRO;PLAZA ALMAGRO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);17;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;BULNES Y PERON, JUAN DOMINGO, TTE. GENERAL
-58.3804806550249;-34.6173731525033;INDEPENDENCIA;AV. INDEPENDENCIA Y 9 DE JULIO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);18;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;INDEPENDENCIA AV. Y 9 DE JULIO AV.
-58.3775489312645;-34.5954047949981;PLAZA SAN MARTIN;PLAZA SAN MARTIN;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);19;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;750 SANTA FE AV.
-58.4417885099317;-34.5800361241865;DISTRITO AUDIOVISUAL;ZAPIOLA Y DORREGO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);20;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;1 ZAPIOLA
-58.3825704592366;-34.594099836289;ARENALES;ARENALES Y CERRITO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);22;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;ARENALES Y CERRITO
-58.3795661232215;-34.6002957825126;SUIPACHA;SUIPACHA Y VIAMONTE;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);23;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;691 SUIPACHA
-58.3807669356213;-34.6105722194484;ALSINA;ADOLFO ALSINA Y BERNARDO DE IRIGOYEN;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);24;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;ALSINA, ADOLFO E IRIGOYEN, BERNARDO DE
-58.4160650218385;-34.5895207284602;PLAZA GUEMES;SALGUERO JERONIMO Y MANSILLA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);25;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;SALGUERO, JERONIMO Y MANSILLA, LUCIO NORBERTO, GENERAL
-58.3636035935707;-34.6010006869203;JUANA MANSO;EMMA DE LA BARRA Y JUANA MANSO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA) - SE MODIFICO EL NOMBRE (EX EMMA DE LA BARRA);26;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;DE LA BARRA,  EMMA Y MANSO JUANA
-58.3898959983962;-34.5995678801944;MONTEVIDEO;AV. CORDOBA Y MONTEVIDEO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);27;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;CORDOBA AV. Y MONTEVIDEO
-58.4123981979493;-34.6228502511336;PLAZA BOEDO;CARLOS CALVO ENTRE VIRREY LINIERS Y SANCHEZ DE LORIA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);28;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;CALVO, CARLOS Y LINIERS VIRREY
-58.3976580800077;-34.5883234351244;PLAZA EMILIO MITRE;PACHECO DE MELO Y LARREA;515-PLAZA_EMILIO_MITRE.JPG;MANUAL;CONTINUA MANUAL!! - SI BIEN PERMANECE EL SITIO DEJO DE FUNCIONAR EN FEBRERO DE 2017 CUANDO SE INAUGURO LA AUTOMATICA AL LADO.;515;ESTACION MANUAL: LUNES A VIERNES DE 8 A 20 H Y SABADOS DE 9 A 15 H;PACHECO DE MELO, JOSE ANDRES Y LARREA
-58.4345767879498;-34.6084590356008;PARQUE CENTENARIO;PATRICIAS ARGENTINAS Y CARLOS FINLAY;ESTACION_AUTOMATICA.PNG;AUTOMATICA;ABRIL 2015 (PASO DE SER MANUAL A AUTOMATICA);29;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;PATRICIAS ARGENTINAS AV. Y FINLAY, CARLOS J. AV.
-58.4066133884138;-34.6400292426058;PARQUE PATRICIOS;IGUAZU Y USPALLATA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;NUEVA ESTACION! - MAYO 2015;21;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;IGUAZU Y USPALLATA
-58.3973783649902;-34.5903936115174;PEÑA;AZCUENAGA Y PEÑA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;NUEVA ESTACION! - ABRIL DE 2015 (SE INCORPORA CON EL SISTEMA AUTOMATICO);30;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;AZCUENAGA Y PEÑA
-58.3735314291533;-34.6077277956862;CATEDRAL;SAN MARTIN Y RIVADAVIA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;NUEVA ESTACION! - ABRIL DE 2015 (SE INCORPORA CON EL SISTEMA AUTOMATICO);32;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;SAN MARTIN Y RIVADAVIA AV.
-58.3718578675869;-34.596327388791;INGENIERO BUTTY;ING. BUTTY Y LEANDRO N. ALEM;ESTACION_AUTOMATICA.PNG;AUTOMATICA;NUEVA ESTACION! - ABRIL DE 2015 (SE INCORPORA CON EL SISTEMA AUTOMATICO);35;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;BUTTY, E., ING. Y ALEM, LEANDRO N. AV.
-58.3765960288027;-34.6053688674684;MAIPU;MAIPU Y SARMIENTO;ESTACION_AUTOMATICA.PNG;AUTOMATICA;NUEVA ESTACION! - ABRIL DE 2015 (SE INCORPORA CON EL SISTEMA AUTOMATICO);36;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;MAIPU Y SARMIENTO
-58.3778640062235;-34.6079143637099;PIEDRAS;ESMERALDA Y RIVADAVIA;ESTACION_AUTOMATICA.PNG;AUTOMATICA;NUEVA ESTACION! - ABRIL DE 2015 (SE INCORPORA CON EL SISTEMA AUTOMATICO);37;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;ESMERALDA Y RIVADAVIA AV.
-58.3828953844952;-34.5969901800416;PLAZA LIBERTAD;CERRITO Y MARCELO T. DE ALVEAR;ESTACION_AUTOMATICA.PNG;AUTOMATICA;NUEVA ESTACION! - ABRIL DE 2015 (SE INCORPORA CON EL SISTEMA AUTOMATICO);38;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;CERRITO Y ALVEAR, MARCELO T. DE
-58.4075919835788;-34.636519409884;URQUIZA;GRAL URQUIZA Y RONDEAU;ESTACION_AUTOMATICA.PNG;AUTOMATICA;NUEVA ESTACION! - JULIO 2015;41;ESTACION AUTOMATICA: DISPONIBILIDAD LAS 24 HORAS;URQUIZA, GRAL. Y RONDEAU
