WKT;ID;CLUB;ESTADIO;DIRECCION;WEB;FACEBOOK;TWITTER;DOM_GEO;CONTACTO;OBJETO;DOM_NORMA;CALLE;ALTURA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
POINT (-58.449766337744279 -34.545305627398449);1;CLUB ATLETICO RIVER PLATE;MONUMENTAL ANTONIO VESPUCIO LIBERTI;AV. FIGUEROA ALCORTA 7597;HTTP://WWW.CARIVERPLATE.COM.AR/;HTTPS://WWW.FACEBOOK.COM/RIVERPLATEOFICIAL;HTTPS://TWITTER.COM/@CARPOFICIAL;7597 FIGUEROA ALCORTA, PRES. AV.;4789 1200;ESTADIO;FIGUEROA ALCORTA, PRES. AV. 7597;FIGUEROA ALCORTA, PRES. AV.;7597;BELGRANO;COMUNA 13;1428;C1428BCL
POINT (-58.520663302398795 -34.635330282211228);2;CLUB ATLETICO VELEZ SARSFIELD;JOSE AMALFITANI;AV. JUAN B. JUSTO 9200;HTTP://WWW.VELEZSARSFIELD.COM.AR/;HTTPS://WWW.FACEBOOK.COM/VELEZSARSFIELD;HTTPS://TWITTER.COM/VELEZ;9200 JUSTO, JUAN B. AV.;4641-5653/5763/4014;ESTADIO;JUSTO, JUAN B. AV. 9200;JUSTO, JUAN B. AV.;9200;LINIERS;COMUNA 9;1408;C1408AKU
POINT (-58.364757863882453 -34.635736105427235);3;CLUB ATLETICO BOCA JUNIORS;ALBERTO J. ARMANDO;BRANDSEN 805;HTTP://WWW.BOCAJUNIORS.COM.AR/;HTTPS://WWW.FACEBOOK.COM/BOCAJUNIORS;HTTPS://TWITTER.COM/BOCAJRSOFICIAL;805 BRANDSEN;5777-1200;ESTADIO;BRANDSEN 805;BRANDSEN;805;BOCA;COMUNA 4;1161;C1161AAQ
POINT (-58.396565931141325 -34.643461682811342);4;CLUB ATLETICO HURACAN;TOMAS ADOLFO DUCO;AV. AMANCIO ALCORTA 2570,;HTTP://WWW.CAHURACAN.COM/;HTTPS://WWW.FACEBOOK.COM/CAHURACAN;HTTPS://TWITTER.COM/CAHURACAN;2570 ALCORTA, AMANCIO AV.;4911-9313/0757;ESTADIO;ALCORTA, AMANCIO AV. 2570;ALCORTA, AMANCIO AV.;2570;PARQUE PATRICIOS;COMUNA 4;1437;C1437HTN
POINT (-58.44022065379685 -34.652037774849028);5;CLUB ATLETICO SAN LORENZO DE ALMAGRO;PEDRO BIDEGAIN;AV. PERITO MORENO Y VARELA;HTTP://WWW.SANLORENZO.COM.AR/;HTTPS://WWW.FACEBOOK.COM/SANLORENZO;HTTPS://TWITTER.COM/SANLORENZO;MORENO, PERITO AV. & VARELA AV.;4016-2600.;ESTADIO;MORENO, PERITO AV. Y VARELA AV.;MORENO, PERITO AV.;;VILLA SOLDATI;COMUNA 8;;
POINT (-58.464525557280631 -34.657867784691831);6;CLUB DEPORTIVO ESPAÑOL DE BUENOS AIRES;ESTADIO NUEVA ESPAÑA;SANTIAGO DE COMPOSTELA 3801;HTTP://WWW.CDE.COM.AR/;HTTPS://WWW.FACEBOOK.COM/PAGES/CLUB-DEPORTIVO-ESPA%C3%B1OL-OFICIAL/165965500136401?FREF=TS;HTTPS://TWITTER.COM/PRENSACDE;3801 SANTIAGO DE COMPOSTELA AV.;4619-1515/1516;ESTADIO;SANTIAGO DE COMPOSTELA AV. 3801;SANTIAGO DE COMPOSTELA AV.;3801;PARQUE AVELLANEDA;COMUNA 9;1407;C1407MDB
POINT (-58.499753303469348 -34.668054818691878);7;CLUB ATLETICO NUEVA CHICAGO;REPUBLICA DE MATADEROS;JUSTO SUAREZ 6900,;HTTP://CANUEVACHICAGO.COM.AR;HTTPS://WWW.FACEBOOK.COM/PRENSANUEVACHICAGO;HTTPS://TWITTER.COM/PRENSACHICAGO;6900 SUAREZ, JUSTO ANTONIO;4687-2538;ESTADIO;SUAREZ, JUSTO ANTONIO 6900;SUAREZ, JUSTO ANTONIO;6900;MATADEROS;COMUNA 9;1440;C1440BHH
POINT (-58.473028203508314 -34.606276407655564);8;ASOCIACION ATLETICA ARGENTINOS JUNIORS;DIEGO ARMANDO MARADONA;GAVILAN 2151;HTTPS://WWW.ARGENTINOSJUNIORS.COM.AR/;HTTPS://WWW.FACEBOOK.COM/AAAJOFICIAL;HTTPS://TWITTER.COM/PRENSAAAAJ;2151 GAVILAN;4581-1243;ESTADIO;GAVILAN 2151;GAVILAN;2151;VILLA GRAL. MITRE;COMUNA 11;1416;C1416ACS
POINT (-58.447687480609538 -34.618584040839934);9;CLUB FERRO CARRIL OESTE;ARQUITECTO RICARDO ETCHEVERRI;AV. AVELLANEDA 1240;HTTP://WWW.FERROCARRILOESTE.ORG.AR/;HTTPS://WWW.FACEBOOK.COM/FERROOFICIAL;HTTPS://TWITTER.COM/FERROOFICIAL;1240 AVELLANEDA AV.;4431-8282;ESTADIO;AVELLANEDA AV. 1240;AVELLANEDA AV.;1240;CABALLITO;COMUNA 6;1405;C1405CNZ
POINT (-58.497844927454722 -34.616526064943159);10;CLUB ATLETICO ALL BOYS;ESTADIO ISLAS MALVINAS;AV. ALVAREZ JONTE 4180,;HTTP://WWW.CAALLBOYS.COM.AR/;HTTPS://WWW.FACEBOOK.COM/CAALLBOYSOFICIAL;HTTPS://TWITTER.COM/CAALLBOYS;4180 ALVAREZ JONTE AV.;4639-8688;ESTADIO;ALVAREZ JONTE AV. 4180;ALVAREZ JONTE AV.;4180;MONTE CASTRO;COMUNA 10;1407;C1407GOV
