LAT;LNG;PERIODO;FECHA;DIA;HORARIO;HORARIO-HASTA;EVENTO;LUGAR;DIRECCION;DIRECCION_NORMALIZADA;DESCRIPCION;ORGANIZA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARG
;;201612;4/12/2016;DOMINGO;17 HS;;CONCIERTO DEL CORO TRILCE/ NAVIDAD COLONIAL HISPANOAMERICANA;PARROQUIA SAN JOSE  DIEGO PALMA 215 - SAN ISIDRO, PROVINCIA DE BUENOS AIRES;DIEGO PALMA 215 - SAN ISIDRO, PROVINCIA DE BUENOS AIRES;;EL CORO ESTABLE DE LA DIRECCION GENERAL DEL LIBRO PRESENTA NAVIDAD COLONIAL HISPANOAMERICANA. LA ACTIVIDAD ES GRATUITA.;DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;;;;
-34,58671905;-58,42307139;201612;9/12/2016;VIERNES;20.30 HS;;CONCIERTO DEL CORO TRILCE/ NAVIDAD COLONIAL HISPANOAMERICANA;PARROQUIA ORTODOXA SAN MARTIN DE TOURS;ARMENIA 2133;ARMENIA 2133;EL CORO ESTABLE DE LA DIRECCION GENERAL DEL LIBRO PRESENTA NAVIDAD COLONIAL HISPANOAMERICANA. LA ACTIVIDAD ES GRATUITA.;DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;PALERMO;COMUNA 14;1425;C1425FBC
-34,57965278;-58,45324683;201612;11/12/2016;DOMINGO;12.20 HS;;CONCIERTO DEL CORO TRILCE/ NAVIDAD COLONIAL HISPANOAMERICANA;PARROQUIA SAN PABLO APOSTOL;AV. ALVAREZ THOMAS 795;ALVAREZ THOMAS AV. 795;EL CORO ESTABLE DE LA DIRECCION GENERAL DEL LIBRO PRESENTA NAVIDAD COLONIAL HISPANOAMERICANA. LA ACTIVIDAD ES GRATUITA.;DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;COLEGIALES;COMUNA 13;1427;C1427CCH
-34,637455;-58,407559;201612;3/12/2016;SABADO;16 HS;;AL TUN TUN - MUSICA PARA CHICOS;BIBLIOTECA ENRIQUE BANCHS;AV. CASEROS Y URQUIZA;CASEROS AV Y URQUIZA GRAL.;ESPECTACULO REALIZADO POR UNA BANDA DE MUSICA PARA CHICOS. LA ENTRADA ES GRATUITA.;DIRECCION GENERAL DEL LIBRO, BIBLIOTECAS Y PROMOCION DE LA LECTURA;PARQUE PATRICIOS;COMUNA 4;;
-34,58649383;-58,39157761;201612;1/12/2016;JUEVES;20.30 HS;;FUERZA BRUTA;SALA VILLA VILLA - CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN 1930;FUERZA BRUTA UTILIZA LUCES ESTROBOSCOPICAS, AGUA Y HUMO. EL PUBLICO PERMANECE PARADO LOS 80 MINUTOS QUE DURA EL ESPECTACULO.;CENTRO CULTURAL RECOLETA;RECOLETA;COMUNA 2;1113;C1113AAX
-34,58649383;-58,39157761;201612;1/12/2016;JUEVES;21 HS;;LA PIEL DEL POEMA;CAPILLA - CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN 1930;COMO PARTE DE LA PROGRAMACION REGULAR DE ESCENICAS EN EL CCR, EN ESTA OCASION SE PRESENTARA LA OBRA DE TEATRO DE IGNACIO BARTOLONE.;CENTRO CULTURAL RECOLETA;RECOLETA;COMUNA 2;1113;C1113AAX
-34,58649383;-58,39157761;201612;2/12/2016;VIERNES;20 HS;;LOS GIRASOLES DE MARTIN BOULOCQ (BOLIVIA) + EL ORGANISMO DE IVAN FUND (ARGENTINA);MICROCINE - CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN 1930;COMO PARTE DE LA PROGRAMACION DEL CICLO DEDICADO AL CINE ARGENTINO Y LATINOAMERICANO DEL CCR, EN ESTA OCASION SE PRESENTARA  LA PELICULA DEL DIRECTOR BOLIVIANO Y SEGUIDO LA DEL DIRECTOR ARGENTINO.;CENTRO CULTURAL RECOLETA;RECOLETA;COMUNA 2;1113;C1113AAX
-34,58649383;-58,39157761;201612;2/12/2016;VIERNES;22 HS;;EL VIENTO SABE QUE VUELVO A CASA DE JOSE LUIS TORRE LEIVA (CHILE);MICROCINE - CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN 1930;COMO PARTE DE LA PROGRAMACION DEL CICLO DEDICADO AL CINE ARGENTINO Y LATINOAMERICANO DEL CCR, EN ESTA OCASION SE PRESENTARA  LA PELICULA DEL DIRECTOR CHILENO.;CENTRO CULTURAL RECOLETA;RECOLETA;COMUNA 2;1113;C1113AAX
-34,58649383;-58,39157761;201612;3/12/2016;SABADO;16 HS;;CULTURA HIP-HOP;SALA 6 Y PATIO DEL ALJIBE - CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN 1930;ACTIVIDAD QUE SE REALIZA LOS SABADOS. ESPACIO QUE SE PROPONE FUNCIONAR COMO PUNTO DE ENCUENTRO PARA JOVENES CULTORES DEL HIP HOP Y LOS 4 ELEMENTOS QUE LA CONFORMAN: RAP (POESIA), TURNTABLISM (DJS), BREAKDANCING (BAILE) Y GRAFFITI (PINTURA). LA ACTIVIDAD ES GRATUITA.;CENTRO CULTURAL RECOLETA;RECOLETA;COMUNA 2;1113;C1113AAX
-34,58649383;-58,39157761;201612;3/12/2016;SABADO;18 HS;;CASO DE EXITO;CAPILLA - CENTRO CULTURAL RECOLETA;JUNIN 1930;JUNIN 1930;COMO PARTE DE LA PROGRAMACION REGULAR DE ESCENICAS EN EL CCR, EN ESTA OCASION SE PRESENTARA LA OBRA DE TEATRO DE IGNACIO OLIVERA Y JUAN PABLO SCHAPIRA.;CENTRO CULTURAL RECOLETA;RECOLETA;COMUNA 2;1113;C1113AAX
