X;Y;ID;NOMBRE;DIRECCION;CP;TELEFONO;E_MAIL;WEB
-58,39008735;-34,59350795;1;CORAZON EUCARISTICO DE JESUS;MONTEVIDEO 1372;C1018ACD;4812-1735;pauaci@datamarkets.com.ar;
-58,44385417;-34,57412497;2;CORPUS CHRISTI;AMENABAR 450;C1426AJF;4553-0219;;
-58,38246375;-34,61776806;3;DEL NAZARENO;INDEPENDENCIA AV. 1166;C1099AAY;4304-0984;;
-58,39264;-34,60231912;4;DEL SALVADOR;CALLAO AV. 580;C1022AAS;4374-5653;;
-58,44402793;-34,60697983;5;DIVINO ROSTRO;GALLARDO, ANGEL AV. 1000;C1405DJW;4982-5277;;
-58,38294735;-34,61815628;6;DIVINO SALVADOR;SALTA 870;C1074AAR;4304-0984;;
-58,41652525;-34,60268857;7;INMACULADA CONCEPCION;BRAVO, MARIO 563;C1175ABI;4862-1635;;
-58,46814288;-34,57033642;8;MADRE REINA ADMIRABLE DE SCHOENSTATT;ECHEVERRIA 3632;C1430BTH;4552-4791;;
-58,42175999;-34,61402074;9;MARIA AUXILIADORA;YAPEYU 172;C1202ACD;4981-6529;;
-58,41204696;-34,59845225;10;MARIA INMACULADA;GALLO 986;C1172ABT;4862-1422;;
-58,46343472;-34,62326672;11;MARIA MADRE PURISIMA;CARACAS 533;C1406AZI;4631-6209;;
-58,38999805;-34,61249284;12;MATER MISERICORDIAE;MORENO 1669;C1093ABE;4372-6159;;
-58,41083173;-34,62118773;13;MATER MISERICORDIAE;24 DE NOVIEMBRE 865;C1224AAG;4931-2219;;
-58,41756035;-34,58887967;14;NUESTRA SEÑORA DE GUADALUPE;MANSILLA, LUCIO NORBERTO, GENERAL 3851;C1425BQA;4823-1160;;
-58,40544728;-34,65518188;15;NUESTRA SEÑORA DE LA MEDALLA MILAGROSA;SANTO DOMINGO 3940;C1437IDD;;;
-58,41535706;-34,60938631;16;NUESTRA SEÑORA DE LA MERCED DE SION;MITRE, BARTOLOME 3459;C1201AAB;4865-3155;;
-58,39702629;-34,58994787;17;NUESTRA SEÑORA DE LA MISERICORDIA;AZCUENAGA 1654;C1128AAB;4805-7527/9465;;
-58,45683323;-34,63236616;18;NUESTRA SEÑORA DE LA MISERICORDIA;DIRECTORIO AV. 2118;C1406GZX;4631-0316;;
-58,44934717;-34,56756272;19;NUESTRA SEÑORA DE LA MISERICORDIA;CABILDO AV. 1333;C1426ABA;4784-5209;;
-58,39921751;-34,63532229;20;NUESTRA SEÑORA DE LUJAN;JUJUY AV. 2181;C1427ABJ;4942-0559;;
-58,50410989;-34,58753601;21;NUESTRA SEÑORA DEL HUERTO;MOSCONI GENERAL AV. 3054;C1419EQW;4571-9316;;
-58,39600959;-34,61903313;22;NUESTRA SEÑORA DEL HUERTO;RINCON 827;C1227ACG;4942-4585;;
-58,3718472;-34,61307343;23;NUESTRA SEÑORA DEL ROSARIO (BASILICA);DEFENSA 422;C1065AH;4331-1668;;
-58,40364675;-34,59211104;24;NUESTRO SEÑOR DE LA SALUD;ANCHORENA, TOMAS MANUEL DE, DR. 1563;C1425ELI;4822-0508;;
-58,39525472;-34,61050194;26;REGINA MARTYRUM;YRIGOYEN, HIPOLITO 2025;C1089AAM;4951-8028;;WWW.IGLESIAREGINA.ORG
-58,47061103;-34,61595947;27;SAGRADA FAMILIA;ARTIGAS, JOSE GERVASIO, GRAL. 1276;C1416AKF;4581-2774;;
-58,45223556;-34,57270249;28;SAGRADA FAMILIA DE NAZARETH;CONESA 1076;C1426AQV;4551-4198;;
-58,38147759;-34,59115989;29;SAGRADO CORAZON DE JESUS;PELLEGRINI, CARLOS 1441;C1011AAC;4393-4255;;
-58,38641959;-34,62402697;30;SAGRADO CORAZON DE JESUS;COCHABAMBA 1470;C1148ABB;4307-1334;;
-58,42332667;-34,62032896;31;SAN ANTONIO;MEXICO 4050;C1223ACF;4931-2139/6554;;
-58,4623944;-34,5529196;32;SAN BONIFACIO;CUBA 2981;C1429AXC;4703-3021;pad@ibersoft.com.ar;
-58,37175925;-34,61015987;33;SAN FRANCISCO (BASILICA);ALSINA, ADOLFO 380;C1087AAD;4331-0625;;
-58,42096083;-34,61577539;34;SAN FRANCISCO DE SALES;BELGRANO 3863;C1210AAG; 4982-5400;;
-58,3851256;-34,62114256;35;SAN JOSE;HUMBERTO 1° 1340;C1103ADB;4304-5030;;
-58,43572724;-34,59344164;36;SAN JOSE;GURRUCHAGA 1010;C1414DHV;4773-1097;;
-58,37801904;-34,61059751;37;SAN JUAN BAUTISTA;ALSINA, ADOLFO 824;C1087AAN;4342-1315;gasparfernandez@ciudad.com.a;WWW.GEOCITIES.COM/BETHARRA
-58,3942066;-34,60147312;38;SAN JUAN BAUTISTA DE LA SALLE;RIOBAMBA 650;C1019ABN;4374-0657;;
-58,38990137;-34,59661221;39;SAN MARCELINO CHAMPAGNAT;MONTEVIDEO 1050;C1019ABV;4812-8336;;
-58,49912886;-34,58959693;40;SAN PABLO APOSTOL;NAZCA 4249;C1419DFF;4572-3926;;
-58,37175925;-34,61015987;41;SAN ROQUE;ALSINA, ADOLFO 380;C1087AAD;4331-0625;;
-58,37405212;-34,59967113;42;SANTA CATALINA DE SIENA;SAN MARTIN 705;C1004AAO;5238-6040;info@santacatalina.org.ar;WWW.SANTACATALINA.ORG.AR
-58,3735913;-34,63721646;43;SANTA FELICITAS;ISABEL LA CATOLICA 520;C1268ACl;4301-1964;secretaria@santafelicitas.or;WWW.SANTAFELICITAS.ORG.AR
-58,49527724;-34,59691063;44;SANTA FRANCISCA ROMANA;SAN MARTIN AV. 5555;C1417DTC;;;
-58,42489069;-34,63222266;45;SANTA MARIA MAZZARELLO;GARAY, JUAN DE AV. 4353;C1256ABM;4923-2109;;
-58,40811601;-34,60100095;46;SANTA TERESA DE JESUS;TUCUMAN 3029;C1189AAG;;;
-58,42391006;-34,60722042;47;SANTA TERESA DE JESUS;POTOSI 4049;C1199ACG;4861-4054;;
-58,51252902;-34,57779616;48;SANTA TERESA DEL NIÑO JESUS;EZEIZA 3054;C1419FTP;4572-1727;;
-58,43883028;-34,56851475;49;SANTO CRISTO;VILLANUEVA 933;C1426BMA;4771-1369;;
-58,44687736;-34,63780366;51;SANTOS MARTIRES COREANOS;THORNE 1261;C1406CZE;4634-0045;stmartireskr@hanmail.net;
-58,46819868;-34,6216856;52;SEÑOR DE LA BUENA ESPERANZA;VALLESE, FELIPE 2549;C1406FSW;4611-5764;;
