TMI;PROMEDIO_ENERGETICO_HORA;FECHA
1283;73;01/04/2011 0:00
1283;74;01/04/2011 1:00
1283;74;01/04/2011 2:00
1283;74;01/04/2011 3:00
1283;74;01/04/2011 4:00
1283;75;01/04/2011 5:00
1283;73;01/04/2011 6:00
1283;73;01/04/2011 7:00
1283;73;01/04/2011 8:00
1283;74;01/04/2011 9:00
1283;74;01/04/2011 10:00
1283;73;01/04/2011 11:00
1283;74;01/04/2011 12:00
1283;74;01/04/2011 13:00
1283;71;01/04/2011 14:00
1283;68;01/04/2011 15:00
1283;;01/04/2011 16:00
1283;;01/04/2011 17:00
1283;;01/04/2011 18:00
1283;;01/04/2011 19:00
1283;;01/04/2011 20:00
1283;;01/04/2011 21:00
1283;;01/04/2011 22:00
1283;;01/04/2011 23:00
1283;73;02/04/2011 0:00
1283;74;02/04/2011 1:00
1283;74;02/04/2011 2:00
1283;74;02/04/2011 3:00
1283;74;02/04/2011 4:00
1283;75;02/04/2011 5:00
1283;73;02/04/2011 6:00
1283;73;02/04/2011 7:00
1283;73;02/04/2011 8:00
1283;74;02/04/2011 9:00
1283;74;02/04/2011 10:00
1283;73;02/04/2011 11:00
1283;74;02/04/2011 12:00
1283;74;02/04/2011 13:00
1283;71;02/04/2011 14:00
1283;68;02/04/2011 15:00
1283;;02/04/2011 16:00
1283;;02/04/2011 17:00
1283;;02/04/2011 18:00
1283;;02/04/2011 19:00
1283;;02/04/2011 20:00
1283;;02/04/2011 21:00
1283;;02/04/2011 22:00
1283;;02/04/2011 23:00
1283;73;03/04/2011 0:00
1283;74;03/04/2011 1:00
1283;74;03/04/2011 2:00
1283;74;03/04/2011 3:00
1283;74;03/04/2011 4:00
1283;75;03/04/2011 5:00
1283;73;03/04/2011 6:00
1283;73;03/04/2011 7:00
1283;73;03/04/2011 8:00
1283;74;03/04/2011 9:00
1283;74;03/04/2011 10:00
1283;73;03/04/2011 11:00
1283;74;03/04/2011 12:00
1283;74;03/04/2011 13:00
1283;71;03/04/2011 14:00
1283;68;03/04/2011 15:00
1283;;03/04/2011 16:00
1283;;03/04/2011 17:00
1283;;03/04/2011 18:00
1283;;03/04/2011 19:00
1283;;03/04/2011 20:00
1283;;03/04/2011 21:00
1283;;03/04/2011 22:00
1283;;03/04/2011 23:00
1283;65;04/04/2011 0:00
1283;64;04/04/2011 1:00
1283;64;04/04/2011 2:00
1283;66;04/04/2011 3:00
1283;69;04/04/2011 4:00
1283;71;04/04/2011 5:00
1283;73;04/04/2011 6:00
1283;74;04/04/2011 7:00
1283;74;04/04/2011 8:00
1283;74;04/04/2011 9:00
1283;74;04/04/2011 10:00
1283;73;04/04/2011 11:00
1283;73;04/04/2011 12:00
1283;72;04/04/2011 13:00
1283;72;04/04/2011 14:00
1283;72;04/04/2011 15:00
1283;74;04/04/2011 16:00
1283;75;04/04/2011 17:00
1283;72;04/04/2011 18:00
1283;72;04/04/2011 19:00
1283;71;04/04/2011 20:00
1283;71;04/04/2011 21:00
1283;70;04/04/2011 22:00
1283;67;04/04/2011 23:00
