ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1;JARRON             ;1;HIERRO FUNDIDO            ;MOTIVO DECORATIVO                      ;                           ;PLAZA  FRANCISCO  SICARDI        ;PLAZA  FRANCISCO  SICARDI        ;VARELA AV. 1500                                                       ;VARELA AV.                                     ;1500;FLORES;COMUNA 7;1406;C1406ELD;-34.645034251856984;-58.45249593797182
2;PLACA              ;1;BRONCE                    ;HJE.AL GENERAL SAN MARTIN              ;ABBIATI, S.                ;                                 ;                                 ;                                                                      ;                                               ;;;;;;;
3;MONUMENTO          ;1;GRANITO Y BRONCE          ;SIRIOS A LA ARGENTINA                  ;AFFANI, GARIBALDI          ;PZTA. DR. CARLOS ALBERTO ERRO    ;PZTA. DR. CARLOS ALBERTO ERRO    ;                                                                      ;                                               ;;;;;;;
4;MONUMENTO          ;1;BRONCE Y GRANITO          ;PRO CULTURA NACIONAL                   ;AFFANI, GARIBALDI          ;                                 ;                                 ;DEL LIBERTADOR AV. Y CALLAO AV.                                       ;DEL LIBERTADOR AV.                             ;;RECOLETA;COMUNA 2;;;-34.586585155522265;-58.38585230082456
5;MONUMENTO          ;1;MARMOL Y PIEDRA           ;GERMAN BURMEISTER                      ;AIGNER, RICARDO            ;PARQUE DEL CENTENARIO            ;PARQUE DEL CENTENARIO            ;DIAZ VELEZ AV. 4800                                                   ;DIAZ VELEZ AV.                                 ;4800;CABALLITO;COMUNA 6;1405;C1405DCP;-34.608665624794405;-58.43480423794467
6;BUSTO              ;1;CEMENTO PATINADO          ;DR. SEVERO OCHOA                       ;ALONSO, ANAHI              ;PZTA.ENRIQUE UDAONDO             ;PZTA.ENRIQUE UDAONDO             ;                                                                      ;                                               ;;;;;;;
7;ESTATUA            ;1;MARMOL                    ;CENTINELA DE LA PATRIA                 ;ALONSO, MATEO              ;PZTA. BASE MARAMBIO              ;PZTA. BASE MARAMBIO              ;PATRICIAS ARGENTINAS AV. 400                                          ;PATRICIAS ARGENTINAS AV.                       ;400;CABALLITO;COMUNA 6;1405;C1405BWQ;-34.60478277856649;-58.43440204973295
8;JARRON             ;1;CEMENTO PATINADO          ;MOTIVO DECORATIVO                      ;M.O.A.                     ;PLAZA  JUAN B.TERAN              ;PLAZA  JUAN B.TERAN              ;MELINCUE 5402                                                         ;MELINCUE                                       ;5402;VILLA REAL;COMUNA 10;1408;C1408BFD;-34.61996728458776;-58.51953924730692
9;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A JUAN XXIII                       ;D.A.O.M.                   ;PLAZA  JUAN XXIII                ;PLAZA  JUAN XXIII                ;SCALABRINI ORTIZ, RAUL AV. 1800                                       ;SCALABRINI ORTIZ, RAUL AV.                     ;1800;PALERMO;COMUNA 14;1414;C1414DOR;-34.58973292612644;-58.42336146940734
10;MONUMENTO          ;1;BRONCE                    ;CRISTOBAL  COLON                       ;VASSILICOS, JOSEFA A. DE   ;PLAZA  MARTIN DE IRIGOYEN        ;PLAZA  MARTIN DE IRIGOYEN        ;                                                                      ;                                               ;;;;;;;
11;ESTATUA            ;1;MARMOL DE CORDOBA         ;INTERIORES                             ;ALVAREZ LOMBA, A.          ;                                 ;                                 ;BOEDO AV. 883                                                         ;BOEDO AV.                                      ;883;FLORES;COMUNA 5;1218;C1218AAE;-34.62371261326536;-58.4163275755905
12;MONUMENTO          ;1;BRONCE Y PIEDRA           ;ARGENTINA Y SUIZA UNIDAS SOBRE EL MUNDO;AMLEHN, FRANZ SALES        ;                                 ;                                 ;DORREGO AV. 4045                                                      ;DORREGO AV.                                    ;4045;;COMUNA 14;1425;C1425GBE;-34.56290083571842;-58.41704703355066
13;GRUPO ESCULTORICO  ;1;MARMOL                    ;FLORA ARGENTINA                        ;ANDINA, EMILIO             ;JARDIN BOTANICO                  ;JARDIN BOTANICO                  ;SANTA FE AV. 3951                                                     ;SANTA FE AV.                                   ;3951;;COMUNA 14;1425;C1425BHB;-34.58373108070923;-58.41788399273957
14;ESTATUA            ;1;MARMOL                    ;EL TRABAJO                             ;ANDINA, EMILIO             ;                                 ;                                 ;CASEROS AV. Y MONTEAGUDO                                              ;CASEROS AV.                                    ;;RECOLETA;COMUNA 4;;;-34.63711738161982;-58.40561079435866
15;ESTATUA            ;1;BRONCE                    ;?USTA (FUENTE INCAICA)              ;ANDINA, EMILIO             ;                                 ;                                 ;PERON, EVA AV. 1410                                                   ;PERON, EVA AV.                                 ;1410;CABALLITO;COMUNA 7;1406;C1406HMP;-34.632902763217736;-58.44476251965362
16;MASTIL             ;1;BRONCE Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;BARRIAS, LUIS ERNESTO      ;PLAZA  SUD  AMERICA              ;PLAZA  SUD  AMERICA              ;PIEDRA BUENA AV. 4900                                                 ;PIEDRA BUENA AV.                               ;4900;;COMUNA 8;1439;C1439GWS;-34.68747427997385;-58.47539139076213
