ID;NOMBRE;REFERENCIA;CALLE;ALTURA;ALTURA_2;CRUCE;STATUS;DETALLE_UB;CP;LOCALIDAD;TEL;MAIL;DIREC_NORM;NOM_MAPA;LONGITUD;LATITUD
89;SAGRADO CORAZON DE JESUS;BASILICA;AVDA. VELEZ SARSFIELD;1351;;;M;;C1285AAC;BUENOS AIRES;4301-0142;ADRIANAPERUILH@YAHOO.COM.AR;1351 VELEZ SARSFIELD AV.;SAGRADO CORAZON DE JESUS;-58.389.283.851.380.100;-3.465.045.487.222.980
94;SAN ANTONIO DE PADUA (D);BASILICA;AVDA. LINCOLN;3751;;;M;;C1419IFC;BUENOS AIRES;4501-1066;BASILICA_SANANTONIO@YAHOO.COM.AR;3751 LINCOLN AV.;SAN ANTONIO DE PADUA;-58.507.043.237.918.400;-34.599.824.311.017.800
99;SAN CARLOS BORROMEO;BASILICA;HIPOLITO IRIGOYEN;4000;;;M;;C1208ABT;BUENOS AIRES;4981-4741;-;4000 YRIGOYEN, HIPOLITO AV.;SAN CARLOS BORROMEO;-58.422.998.669.706.600;-34.614.936.482.045.100
116;SAN JOSE DE FLORES;BASILICA;AVDA. RIVADAVIA;6950;;;M;;C1406GLZ;BUENOS AIRES;"4612-2629; 4637-1489";SANJOSEDEFLORES@ACONECTARSE.COM;6950 RIVADAVIA AV.;SAN JOSE DE FLORES;-58.463.259.748.724.900;-34.629.197.323.702.100
131;SAN NICOLAS DE BARI;BASILICA;AVDA. SANTA FE;1352;;;M;;C1059ABU;BUENOS AIRES;"4811-7755; 4813-3028";SANNICOLASDEBARI@FIBERTEL.COM.AR;1352 SANTA FE AV.;SAN NICOLAS DE BARI;-58.386.457.622.527.300;-34.595.888.071.908.600
168;SANTA ROSA DE LIMA;BASILICA;AVDA. BELGRANO;2216;;;M;;C1094AAR;BUENOS AIRES;4308-0504/5313;PARROQUIASANTAROSA@FIBERTEL.COM.AR;2216 BELGRANO AV.;SANTA ROSA DE LIMA;-58.397.718.766.864.000;-34.614.400.924.635.500
174;SANTISIMO SACRAMENTO;BASILICA;SAN MARTIN;1039;;;M;;C1004AAU;BUENOS AIRES;"4312-2314; 4311-0391";BASILICASANTISIMOSACRAMENTO@HOTMAIL.COM.AR;1039 SAN MARTIN;SANTISIMO SACRAMENTO;-58.374.121.012.030.300;-34.595.876.484.851.400
32;NUESTRA SEÑORA DE BUENOS AIRES;BASILICA;AVDA. GAONA;1730;;;M;;C1416DRS;BUENOS AIRES;"4581-0440; 4584-4197";PARROQUIABUENOSAIRES@FIBERTEL.COM.AR;1730 GAONA AV.;NTRA. SRA. DE BUENOS AIRES;-58.452.749.594.989.900;-34.611.151.541.129.300
37;NUESTRA SEÑORA DE GUADALUPE;BASILICA;PARAGUAY;3901;;;M;;C1425BSC;BUENOS AIRES;4824-0270;PARRGUADAL@HOTMAIL.COM;3901 PARAGUAY;NTRA. SRA. DE GUADALUPE;-58.417.731.723.226.200;-34.589.472.179.266.800
45;NUESTRA SEÑORA DE LA MERCED;BASILICA;RECONQUISTA;207;;;M;;C1003ABE;BUENOS AIRES;4343-9623;-;207 RECONQUISTA;NTRA. SRA. DE LA MERCED;-58.372.112.015.890.000;-34.605.402.056.955.600
48;NUESTRA SEÑORA DE LA PIEDAD;BASILICA;BARTOLOMÉ MITRE;1523;;PARANA;M;;C1037ABD;BUENOS AIRES;4383-9765;-;1523 BARTOLOME MITRE;NTRA. SRA. DE LA PIEDAD;-58.387.870.847.569.600;-34.607.812.165.183.500
73;NUESTRA SEÑORA DEL PILAR;BASILICA;JUNIN;1904;;;M;;C1113AAV;BUENOS AIRES;4803-6793;IGLESIADELPILAR@ARNET.COM.AR;1904 JUNIN;NTRA. SRA. DEL PILAR;-58.391.920.277.797.500;-34.586.836.694.999.300
77;NUESTRA SEÑORA DEL SOCORRO;BASILICA;JUNCAL;888;;;M;;C1062ABT;BUENOS AIRES;4393-1423/4079;PARROCO@FIBERTEL.COM.AR / PDELSOCORRO@FIBERTEL.COM.AR;888 JUNCAL;NTRA. SRA. DEL SOCORRO;-58.379.865.457.052.000;-34.593.044.045.071.700
1;ASUNCION DE LA SANTISIMA VIRGEN;PARROQUIA;AVDA. GAONA;2798;;;M;;C1406DSP;BUENOS AIRES;4581-0471;PADREJOSE@CIUDAD.COM.AR / PADREROMERO@HOTMAIL.COM;2798 GAONA AV.;ASUNCION DE LA SANTISIMA VIRGEN;-58.465.516.733.072.100;-3.461.641.533.066.870
2;BUEN PASTOR;PARROQUIA;DR. JUAN ARANGUREN;691;693;;M;;C1405CRM;BUENOS AIRES;4904-0590;PARROQUIABUENPASTOR180@GMAIL.COM;691 ARANGUREN, JUAN F., DR.;BUEN PASTOR;-58.442.235.536.340.600;-34.614.241.460.404.600
3;CORAZON DE JESUS;PARROQUIA;AVDA. GRAL PAZ;5370;;;M;;C1419FYQ;BUENOS AIRES;4573-0385;COR_IESU@HOTMAIL.COM;5370 PAZ, GRAL. AV.;CORAZON DE JESUS;-58.512.129.133.233.000;-34.577.109.866.624.100
4;CORPUS DOMINI;PARROQUIA;ALBARIÑO;256;;;M;;C1408HOF;BUENOS AIRES;4682-3803;-;256 ALBARIÑO;CORPUS DOMINI;-58.508.416.827.393.400;-34.640.877.262.697.100
5;CRISTO MAESTRO;PARROQUIA;MERCEDES;1632;;;M;;C1407AIF;BUENOS AIRES;4566-6762;CRISTOMAESTRO@HOTMAIL.COM;1632 MERCEDES;CRISTO MAESTRO;-58.494.852.081.027.300;-34.619.817.755.219.900
6;CRISTO OBRERO;PARROQUIA;CALLE 14;0;;AVDA. RAFAEL CASTILLO;;;C1104CAA;BUENOS AIRES;4116-4307;CRISTOBRERO@HOTMAIL.COM;;CRISTO OBRERO;-58.388.249.670.392.000;-34.576.410.256.399.700
7;CRISTO OBRERO Y SAN BLAS;PARROQUIA;LAFUENTE;3242;;;M;;C1437BVO;BUENOS AIRES;4918-2290;BUENOSAIRES@MURIALDO.ORG;3242 LAFUENTE;CRISTO OBRERO Y SAN BLAS;-58.438.206.055.127.500;-34.662.959.538.499.400
8;CRISTO REY;PARROQUIA;ZAMUDIO;5551;;;M;;C1419EHK;BUENOS AIRES;4572-5459;-;5551 ZAMUDIO;CRISTO REY;-58.502.505.934.750.700;-34.575.875.865.483.400
9;DULCISIMO NOMBRE DE JESUS;PARROQUIA;VALDENEGRO;3611;;;M;;C1431GAU;BUENOS AIRES;4541-9796/0099;PATERFABRIZIO@HOTMAIL.COM;3611 VALDENEGRO;DULCISIMO NOMBRE DE JESUS;-58.490.748.170.093.200;-34.560.560.919.515.300
10;ENCARNACION DEL SEÑOR;PARROQUIA;GRAL. MANUEL A. RODRIGUEZ;2444;;;M;;C1416CNB;BUENOS AIRES;4582-4195;RAFAELMARINO2@YAHOO.COM.AR;2444 RODRIGUEZ, MANUEL A., GENERAL;ENCARNACION DEL SEÑOR;-58.458.893.912.890.900;-34.598.340.777.469.100
