LON;LAT;ID;NOM_POLID;CALLE;NRO;TELEFONO;DOMICILIO;COMUNA;BARRIO;HOR_ATEC;VALOR_ENT
-58,474400;-34,64600;1;AVELLANEDA;LACARRA;1257;4671-5932;1257 LACARRA;9;PARQUE AVELLANEDA;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,444600;-34,63310;2;CHACABUCO;PERON EVA;1410;4921-5776;1410 PERON EVA;7;PARQUE CHACABUCO;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,445900;-34,57960;3;COLEGIALES;CONDE;235;4555-7074;235 CONDE;13;COLEGIALES;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,476200;-34,59260;4;COSTA RICA;DE LOS CONSTITUYENTES;3050;4521-8063;3050 DE LOS CONSTITUYENTES;15;AGRONOMIA;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,376300;-34,63800;5;DON PEPE;GRAL. LOS HORNOS;1800;4302-1618;1800 HORNOS GRAL.;4;BARRACAS;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,495100;-34,66680;6;DORREGO;DE LA TORRE LISANDRO & MONTE;0;4687-6823;DE LA TORRE LISANDRO & MONTE;9;MATADEROS;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,408700;-34,62600;7;MARTIN FIERRO;ORURO;1300;4941-2054;1300 ORURO;3;SAN CRISTOBAL;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,513800;-34,59440;8;ONEGA;MISTRAL GABRIELA;3819;4504-2711;3819 MISTRAL GABRIELA;11;VILLA DEVOTO;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,408900;-34,63950;9;PATRICIOS;PEPIRI;135;4911-4642;135 PEPIRI;4;PARQUE PATRICIOS;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,491300;-34,62270;10;POMAR;MERCEDES;1300;4568-0184;1300 MERCEDES;10;FLORESTA;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,513200;-34,64640;11;SANTOJANNI;PATRON;6222;4641-2462;6222 PATRON;9;LINIERS;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,389400;-34,64930;12;PEREYRA;VELEZ SARSFIELD;1271;4301-3700;1271 VELEZ SARSFIELD;4;BARRACAS;TODOS LOS DIAS DE 8 A 20 HORAS.;GRATUITO
-58,401900;-34,57;13;M BELGRANO (KDT);SALGUERO;3450;4807-7700;3450 SALGUERO;14;PALERMO;LUNES A VIERNES DE 8 A 22HS. SABADOS, DOMINGOS Y FERIADOS DE 8 A 21 HS.;$ 2
-58,440300;-34,666900;14;ROCA;ROCA CNEL.;3490;4919-1542;3490 ROCA CNEL.;8;VILLA SOLDATI;MARTES A DOMINGO DE 9 A 19 HORAS.;$1 (NO OBLIGATORIO) 
-58,50;-34,552300;15;SARMIENTO;BALBIN RICARDO DR. & PAZ GRAL AV;4750;4547-0882;4750 BALBIN RICARDO DR. & PAZ GRAL;12;SAAVEDRA;TODOS LOS DAAS DE 8:30 A 18 HORAS.;$ 1
-58,43480;-34,559200;16;COMPLEJO GOLF - VELODROMO;TORNQUINST;6397;4772-7261;6397 TORNQUINST;14;PALERMO;MARTES A DOMINGO DE 9 A 18 HORAS.;GRATUITO
