LNG;LAT;ID;PLAZA;TIPO;TIPO_NORMA;MATERIALES;DIAS_Y_HOR;COOPERATIV;CALLE;ALTURA;CALLE2;DIRECCION_;BARRIO;COMUNA;OBSERVACIO
-58.4653094716601;-34.567226390163;1;PLAZA CASTELLI;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;CONDE;0;JURAMENTO;CONDE Y JURAMENTO;BELGRANO;COMUNA 13;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.424945081451;-34.5892187395623;2;PLAZA ARMENIA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;CEIBO;MALABIA;0;COSTA RICA;MALABIA Y COSTA RICA;PALERMO;COMUNA 14;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.468391718268;-34.5470867941395;3;PLAZA BALCARCE;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;MADRESELVA;MANZANARES;0;VUELTA DE OBLIGADO;MANZANARES Y VUELTA DE OBLIGADO;NUÑEZ;COMUNA 13;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.5038838708361;-34.5763132835616;4;PLAZA LEANDRO N. ALEM;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;ALAMO;ARTIGAS;0;LARSEN;ARTIGAS, JOSE GERVASIO, GRAL. Y LARSEN;VILLA PUEYRREDON;COMUNA 12;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4834518640455;-34.629625512447;5;PLAZA VELEZ SARFIELD;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;AV. AVELLANEDA;0;CHIVILCOY;AVELLANEDA AV. Y CHIVILCOY;FLORESTA;COMUNA 10;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.5166317280531;-34.6494614485641;6;PARQUE SANTOJANNI;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;RECOLECTORES DEL OESTE;LISANDRO DE LA TORRE;0;PATRON;DE LA TORRE, LISANDRO Y PATRON;LINIERS;COMUNA 9;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4402033889077;-34.6617677008271;7;ESTACION VILLA SOLDATI;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;BAIRES CERO;LUCIO CORREA MORALES;0;LAFUENTE;CORREA MORALES, LUCIO Y LAFUENTE;VILLA SOLDATI;COMUNA 8;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4419608716794;-34.6357169970937;8;PARQUE CHACABUCO;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;AV. ASAMBLEA;0;HORTIGUERA;ASAMBLEA AV. Y HORTIGUERA;PARQUE CHACABUCO;COMUNA 7;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4185648302941;-34.6053444341478;9;PLAZA ALMAGRO;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;RUO;SARMIENTO;0;BULNES;SARMIENTO Y BULNES;ALMAGRO;COMUNA 5;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.3745415925788;-34.6376736948918;10;PLAZA COLOMBIA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;EL TREBOL;AV. MONTES DE OCA;0;BRANDSEN;MONTES DE OCA, MANUEL AV. Y BRANDSEN;BARRACAS;COMUNA 4;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4037546403522;-34.6171961720433;11;PLAZA DR J.M VELAZCO IBARRA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;AV. JUJUY;0;MEXICO;JUJUY AV. Y MEXICO;BALVANERA;COMUNA 3;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.3964996681353;-34.5869309276034;12;PLAZOLETA REINO DE TAILANDIA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;AMANECER;AV. PUEYRREDON;0;VICENTE LOPEZ;PUEYRREDON AV. Y LOPEZ, VICENTE;RECOLETA;COMUNA 2;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.3758556951065;-34.6221621676058;13;PLAZA ROSARIO VERA PEÑALOZA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;CARTONERA DEL SUR;AV. SAN JUAN;0;CHACABUCO;SAN JUAN AV. Y CHACABUCO;SAN TELMO;COMUNA 1;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4330506142859;-34.6064458661756;14;PUNTO VERDE ESPECIAL - PARQUE CENTENARIO;PUNTO VERDE ESPECIAL;PUNTO_VERDE_ESPECIAL;APARATOS DE INFORMATICA Y COMUNICACION (HASTA 3 UNIDADES MAS SUS ACCESORIOS) / PEQUEÑOS ELECTRODOMESTICOS (HASTA 3 UNIDADES) / PAPEL / CARTON / METAL / VIDRIO / PLASTICO / TELGOPOR / TETRA-BRIK  / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;;AV. PATRICIAS ARGENTINAS;0;AV. ROENTGEN;PATRICIAS ARGENTINAS AV. Y ROENTGEN, AV.;CABALLITO;COMUNA 6;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
-58.4814758259298;-34.5518218448997;15;PARQUE SAAVEDRA;PUNTO VERDE CON ATENCION;PUNTO_VERDE_CON_ATENCION;PAPEL / CARTON / VIDRIO / METAL / PLASTICO / TETRA-BRIK / TELGOPOR / ACEITE VEGETAL USADO;MIERCOLES A DOMINGOS DE 11 A 19 HS.;MADRESELVA;ROQUE PEREZ;0;PAROISSIEN;PEREZ, ROQUE Y PAROISSIEN;SAAVEDRA;COMUNA 12;PARA ENTREGAR LOS MATERIALES, ESTOS DEBEN ESTAR LIMPIOS Y SECOS
