PERIODO;ORIGENFECHA;ORIGENESTACIONID;ORIGENNOMBRE;DESTINOFECHA;DESTINOESTACIONID;DESTINONOMBRE;TIEMPOUSO
2010;30/12/2010 19:39;6;DERECHO;30/12/2010 19:46;3;RETIRO;7
2010;30/12/2010 19:34;5;ADUANA;30/12/2010 19:47;3;RETIRO;13
2010;30/12/2010 19:10;7;PLAZA ROMA;30/12/2010 19:17;3;RETIRO;7
2010;30/12/2010 19:03;6;DERECHO;30/12/2010 19:29;5;ADUANA;26
2010;30/12/2010 19:02;5;ADUANA;30/12/2010 19:13;3;RETIRO;11
2010;30/12/2010 18:59;5;ADUANA;30/12/2010 19:01;7;PLAZA ROMA;2
2010;30/12/2010 18:58;5;ADUANA;30/12/2010 19:02;7;PLAZA ROMA;4
2010;30/12/2010 18:53;7;PLAZA ROMA;30/12/2010 18:57;3;RETIRO;4
2010;30/12/2010 18:41;7;PLAZA ROMA;30/12/2010 18:50;3;RETIRO;9
2010;30/12/2010 18:41;5;ADUANA;30/12/2010 18:59;3;RETIRO;19
2010;30/12/2010 18:38;7;PLAZA ROMA;30/12/2010 18:40;7;PLAZA ROMA;3
2010;30/12/2010 18:33;6;DERECHO;30/12/2010 19:41;6;DERECHO;67
2010;30/12/2010 18:32;6;DERECHO;30/12/2010 19:41;6;DERECHO;69
2010;30/12/2010 18:25;6;DERECHO;30/12/2010 19:41;3;RETIRO;76
2010;30/12/2010 18:16;7;PLAZA ROMA;30/12/2010 18:32;6;DERECHO;16
2010;30/12/2010 18:14;3;RETIRO;30/12/2010 18:58;3;RETIRO;44
2010;30/12/2010 18:13;7;PLAZA ROMA;30/12/2010 18:29;3;RETIRO;15
2010;30/12/2010 18:13;7;PLAZA ROMA;30/12/2010 18:29;3;RETIRO;16
2010;30/12/2010 18:12;3;RETIRO;30/12/2010 18:22;6;DERECHO;10
2010;30/12/2010 18:12;7;PLAZA ROMA;30/12/2010 18:28;3;RETIRO;17
2010;30/12/2010 18:07;3;RETIRO;30/12/2010 18:16;6;DERECHO;9
2010;30/12/2010 18:07;5;ADUANA;30/12/2010 18:19;7;PLAZA ROMA;13
2010;30/12/2010 18:06;5;ADUANA;30/12/2010 18:15;3;RETIRO;9
2010;30/12/2010 18:06;7;PLAZA ROMA;30/12/2010 18:25;6;DERECHO;19
2010;30/12/2010 18:03;7;PLAZA ROMA;30/12/2010 18:18;6;DERECHO;15
2010;30/12/2010 17:57;5;ADUANA;30/12/2010 19:31;5;ADUANA;94
2010;30/12/2010 17:56;5;ADUANA;30/12/2010 19:31;5;ADUANA;95
2010;30/12/2010 17:55;5;ADUANA;30/12/2010 18:23;3;RETIRO;28
2010;30/12/2010 17:53;5;ADUANA;30/12/2010 19:26;5;ADUANA;93
2010;30/12/2010 17:52;6;DERECHO;30/12/2010 19:44;6;DERECHO;112
2010;30/12/2010 17:50;5;ADUANA;30/12/2010 18:07;3;RETIRO;17
2010;30/12/2010 17:50;3;RETIRO;30/12/2010 18:29;3;RETIRO;39
2010;30/12/2010 17:42;7;PLAZA ROMA;30/12/2010 17:52;3;RETIRO;9
2010;30/12/2010 17:34;7;PLAZA ROMA;30/12/2010 17:52;6;DERECHO;18
2010;30/12/2010 17:33;7;PLAZA ROMA;30/12/2010 17:42;3;RETIRO;9
2010;30/12/2010 17:29;5;ADUANA;30/12/2010 17:56;5;ADUANA;27
2010;30/12/2010 17:29;7;PLAZA ROMA;30/12/2010 17:38;3;RETIRO;10
2010;30/12/2010 17:28;5;ADUANA;30/12/2010 17:39;3;RETIRO;11
2010;30/12/2010 17:28;3;RETIRO;30/12/2010 18:24;6;DERECHO;56
2010;30/12/2010 17:25;5;ADUANA;30/12/2010 17:32;5;ADUANA;7
2010;30/12/2010 17:25;5;ADUANA;30/12/2010 17:43;3;RETIRO;18
2010;30/12/2010 17:23;5;ADUANA;30/12/2010 17:42;3;RETIRO;19
2010;30/12/2010 17:20;7;PLAZA ROMA;30/12/2010 17:20;3;RETIRO;0
2010;30/12/2010 17:19;7;PLAZA ROMA;30/12/2010 17:28;3;RETIRO;8
2010;30/12/2010 17:18;7;PLAZA ROMA;30/12/2010 19:08;7;PLAZA ROMA;110
2010;30/12/2010 17:18;5;ADUANA;30/12/2010 17:39;6;DERECHO;21
2010;30/12/2010 17:17;7;PLAZA ROMA;30/12/2010 19:00;7;PLAZA ROMA;103
2010;30/12/2010 17:17;5;ADUANA;30/12/2010 19:07;5;ADUANA;110
2010;30/12/2010 17:16;5;ADUANA;30/12/2010 19:06;5;ADUANA;110
2010;30/12/2010 17:16;7;PLAZA ROMA;30/12/2010 17:22;5;ADUANA;6
2010;30/12/2010 17:14;7;PLAZA ROMA;30/12/2010 17:23;3;RETIRO;9
2010;30/12/2010 17:09;7;PLAZA ROMA;30/12/2010 17:15;3;RETIRO;6
2010;30/12/2010 17:02;7;PLAZA ROMA;30/12/2010 17:08;3;RETIRO;6
2010;30/12/2010 16:59;7;PLAZA ROMA;30/12/2010 17:08;3;RETIRO;9
2010;30/12/2010 16:56;3;RETIRO;30/12/2010 17:19;5;ADUANA;23
2010;30/12/2010 16:56;3;RETIRO;30/12/2010 17:19;5;ADUANA;23
2010;30/12/2010 16:55;3;RETIRO;30/12/2010 17:19;5;ADUANA;24
2010;30/12/2010 16:55;7;PLAZA ROMA;30/12/2010 17:01;3;RETIRO;6
2010;30/12/2010 16:45;5;ADUANA;30/12/2010 17:11;6;DERECHO;27
2010;30/12/2010 16:41;5;ADUANA;30/12/2010 17:04;3;RETIRO;23
2010;30/12/2010 16:40;7;PLAZA ROMA;30/12/2010 16:50;3;RETIRO;10
2010;30/12/2010 16:24;6;DERECHO;30/12/2010 17:38;6;DERECHO;73
2010;30/12/2010 16:21;6;DERECHO;30/12/2010 16:31;3;RETIRO;10
2010;30/12/2010 16:16;5;ADUANA;30/12/2010 18:53;3;RETIRO;157
2010;30/12/2010 16:16;5;ADUANA;30/12/2010 16:29;3;RETIRO;13
2010;30/12/2010 16:11;7;PLAZA ROMA;30/12/2010 17:19;7;PLAZA ROMA;68
2010;30/12/2010 16:06;5;ADUANA;30/12/2010 16:14;5;ADUANA;8
2010;30/12/2010 16:05;5;ADUANA;30/12/2010 16:13;5;ADUANA;8
2010;30/12/2010 16:04;5;ADUANA;30/12/2010 16:24;3;RETIRO;20
2010;30/12/2010 15:59;7;PLAZA ROMA;30/12/2010 17:32;7;PLAZA ROMA;93
2010;30/12/2010 15:50;6;DERECHO;30/12/2010 17:28;6;DERECHO;99
2010;30/12/2010 15:49;6;DERECHO;30/12/2010 17:28;6;DERECHO;99
2010;30/12/2010 15:47;5;ADUANA;30/12/2010 17:41;7;PLAZA ROMA;114
2010;30/12/2010 15:34;3;RETIRO;30/12/2010 15:42;6;DERECHO;9
2010;30/12/2010 15:30;5;ADUANA;30/12/2010 16:13;7;PLAZA ROMA;43
2010;30/12/2010 15:23;7;PLAZA ROMA;30/12/2010 15:42;7;PLAZA ROMA;19
2010;30/12/2010 15:16;6;DERECHO;30/12/2010 15:25;3;RETIRO;9
2010;30/12/2010 15:15;5;ADUANA;30/12/2010 15:28;3;RETIRO;14
2010;30/12/2010 15:14;5;ADUANA;30/12/2010 16:34;6;DERECHO;80
2010;30/12/2010 15:09;5;ADUANA;30/12/2010 16:00;5;ADUANA;51
2010;30/12/2010 15:07;6;DERECHO;30/12/2010 16:39;6;DERECHO;92
2010;30/12/2010 15:06;6;DERECHO;30/12/2010 15:41;6;DERECHO;35
2010;30/12/2010 15:01;3;RETIRO;30/12/2010 15:17;7;PLAZA ROMA;15
2010;30/12/2010 14:58;5;ADUANA;30/12/2010 15:09;3;RETIRO;11
2010;30/12/2010 14:55;3;RETIRO;30/12/2010 16:09;3;RETIRO;74
2010;30/12/2010 14:54;5;ADUANA;30/12/2010 15:39;5;ADUANA;45
