WKT	ID	LINEA	RAMAL	SENTIDO	TIPO_SERVICIO
LINESTRING (-58.4764909777277 -34.537637026185585,-58.476489989419392 -34.53763801808757,-58.47616300069128 -34.538293988635729,-58.476161024210981 -34.538296964224465,-58.476084509049798 -34.538440492465355,-58.476039704079604 -34.538528590544232,-58.475945778937778 -34.538711094626606,-58.475814622836829 -34.538906355967903,-58.475489913038473 -34.539368502950722,-58.475212424979027 -34.539743547189502,-58.474929261859479 -34.53998814688903,-58.474737914400428 -34.540244455391516,-58.474588927180747 -34.540445496910465,-58.474355474049851 -34.540761005238771,-58.474318039235996 -34.540811707861799,-58.473852524211061 -34.541441096766263,-58.47378471008733 -34.541531547926354,-58.473745569506967 -34.541584831735783,-58.473272014641253 -34.542222031881408,-58.473214959410797 -34.54229903574879,-58.473165552648126 -34.5423672892694,-58.472738904913875 -34.54294556774763,-58.472690429743196 -34.543010063494926,-58.472629092903638 -34.543090877844698,-58.472146974330578 -34.54374398004240	7159	133	B	vuelta	COMUN BASICO
LINESTRING (-58.4764909777277 -34.537637026185585,-58.476489989419392 -34.53763801808757,-58.47616300069128 -34.538293988635729,-58.476161024210981 -34.538296964224465,-58.476084509049798 -34.538440492465355,-58.476039704079604 -34.538528590544232,-58.475945778937778 -34.538711094626606,-58.475814622836829 -34.538906355967903,-58.475489913038473 -34.539368502950722,-58.475212424979027 -34.539743547189502,-58.474929261859479 -34.53998814688903,-58.474737914400428 -34.540244455391516,-58.474588927180747 -34.540445496910465,-58.474355474049851 -34.540761005238771,-58.474318039235996 -34.540811707861799,-58.473852524211061 -34.541441096766263,-58.47378471008733 -34.541531547926354,-58.473745569506967 -34.541584831735783,-58.473272014641253 -34.542222031881408,-58.473214959410797 -34.54229903574879,-58.473165552648126 -34.5423672892694,-58.472738904913875 -34.54294556774763,-58.472690429743196 -34.543010063494926,-58.472629092903638 -34.543090877844698,-58.472146974330578 -34.54374398004240	7162	133	A	vuelta	COMUN BASICO
LINESTRING (-58.491405018256238 -34.701898036653397,-58.491806024993224 -34.701829960644673,-58.491857968630462 -34.701805965579084,-58.492177013294345 -34.701662984696796,-58.492247965060677 -34.70166801649205,-58.492371022439599 -34.701599013936999,-58.492644966552426 -34.701483992501949,-58.493246038654362 -34.7009380126255,-58.493660987116805 -34.700607019439971,-58.493691013215894 -34.70048304132834,-58.493696023199448 -34.700397027080115,-58.493739042778984 -34.700348960663206,-58.493585038936097 -34.700238012397918,-58.493392039036316 -34.700098042129262,-58.492946034209595 -34.699700005500453,-58.492719017289041 -34.699349968940567,-58.492441013773288 -34.698919972140764,-58.492166968297049 -34.698472031803078,-58.492058954997987 -34.698296966412812,-58.491628967494364 -34.697569024111864,-58.490614020508673 -34.69623398524142,-58.490573036773029 -34.696177013240387,-58.490426038332664 -34.695978964339055,-58.489649978909895 -34.696582041107895,-58.488594959497512 -34.697391008	7178	36	A	vuelta	COMUN BASICO
LINESTRING (-58.455280040392275 -34.709866040361817,-58.455376041271641 -34.709742977475422,-58.456233989512526 -34.708813023316807,-58.45644003153938 -34.708584027086395,-58.456500998937933 -34.708496033814306,-58.45668398092608 -34.70836296647726,-58.457687042338506 -34.707587994422944,-58.458102975427401 -34.70726803209314,-58.458247958515727 -34.707042997479498,-58.458266962039602 -34.706963026023921,-58.458290017708805 -34.706878997499395,-58.458274982274069 -34.70684401477358,-58.458266969403198 -34.706824990667478,-58.458236989544069 -34.706737984921432,-58.458233034398567 -34.706612030889978,-58.458255999585255 -34.706535034864352,-58.458285986617632 -34.706485988770254,-58.458351002884953 -34.706389970424922,-58.458503992386355 -34.706267988947246,-58.45860304159681 -34.70623003484463,-58.458683001423267 -34.706195956925072,-58.458808972221675 -34.706180994407966,-58.458824009577903 -34.706177027835352,-58.45888100836882 -34.706141957290036,-58.459068032277507 -34.706031967477	7179	36	B	vuelta	COMUN BASICO
LINESTRING (-58.421732960323659 -34.581182687452532,-58.421845267205164 -34.581263325676836,-58.422829016189766 -34.582053963599641,-58.422898040903064 -34.5821070014428,-58.422966973907116 -34.582164006348933,-58.423956955093139 -34.582952972436431,-58.424024989960593 -34.583010968235413,-58.424089969819555 -34.58306499589785,-58.425110976176093 -34.583888043590164,-58.425182970509198 -34.583941982661464,-58.425129992270641 -34.583988039183275,-58.424295956996147 -34.5846209877839,-58.424223014250472 -34.584673980101449,-58.424154025196451 -34.584732022699036,-58.423324020680631 -34.585365957630806,-58.42325799941554 -34.585420033542164,-58.423184965400388 -34.585473025202376,-58.422350988016916 -34.586111009439776,-58.422278042254561 -34.586164992362441,-58.422208963151846 -34.586217984741495,-58.421303009390122 -34.586916977525149,-58.421229974302605 -34.586966992654297,-58.421160985759272 -34.587016017334385,-58.420263021574719 -34.587705988817568,-58.420155980493782 -34.5877889907	7180	36	A	ida	COMUN BASICO
LINESTRING (-58.421732960323659 -34.581182687452532,-58.421845267205164 -34.581263325676836,-58.422829016189766 -34.582053963599641,-58.422898040903064 -34.5821070014428,-58.422966973907116 -34.582164006348933,-58.423956955093139 -34.582952972436431,-58.424024989960593 -34.583010968235413,-58.424089969819555 -34.58306499589785,-58.425110976176093 -34.583888043590164,-58.425182970509198 -34.583941982661464,-58.425129992270641 -34.583988039183275,-58.424295956996147 -34.5846209877839,-58.424223014250472 -34.584673980101449,-58.424154025196451 -34.584732022699036,-58.423324020680631 -34.585365957630806,-58.42325799941554 -34.585420033542164,-58.423184965400388 -34.585473025202376,-58.422350988016916 -34.586111009439776,-58.422278042254561 -34.586164992362441,-58.422208963151846 -34.586217984741495,-58.421303009390122 -34.586916977525149,-58.421229974302605 -34.586966992654297,-58.421160985759272 -34.587016017334385,-58.420263021574719 -34.587705988817568,-58.420155980493782 -34.5877889907	7181	36	B	ida	COMUN BASICO
LINESTRING (-58.421732320284114 -34.581183057684697,-58.420048973180911 -34.58235001771051,-58.419248539857577 -34.582897581443611,-58.418261009308615 -34.583589018290141,-58.417508995309909 -34.584092026834746,-58.417105956473613 -34.584362002479828,-58.416941985628156 -34.584475996121817,-58.416754988688332 -34.5846050379389,-58.416457987039387 -34.584810044449902,-58.415970032430103 -34.58513696652205,-58.415950962622311 -34.585152016281363,-58.416049022734995 -34.585213003349097,-58.417366959708723 -34.58603496638581,-58.417427987392244 -34.586077996331035,-58.417484971779011 -34.586115975673508,-58.418699029067255 -34.586876034535877,-58.418774980135474 -34.586926011657596,-58.418851023292717 -34.586972021635667,-58.41946700608549 -34.587355970964431,-58.420080025787549 -34.587742981635948,-58.420155980493782 -34.587788990764444,-58.420235977379292 -34.587843025670985,-58.421472018447048 -34.588614965784089,-58.421653564801645 -34.588713583037574,-58.422207323892593 -34.5890829582	7187	141	A	ida	COMUN BASICO
LINESTRING (-58.421732320284114 -34.581183057684697,-58.420751322994498 -34.581860283494279,-58.420048973180911 -34.58235001771051,-58.419248539857577 -34.582897581443611,-58.418261009308615 -34.583589018290141,-58.417508995309909 -34.584092026834746,-58.417105956473613 -34.584362002479828,-58.416941985628156 -34.584475996121817,-58.416754988688332 -34.5846050379389,-58.416457987039387 -34.584810044449902,-58.415970032430103 -34.58513696652205,-58.415950962622311 -34.585152016281363,-58.416049022734995 -34.585213003349097,-58.417366959708723 -34.58603496638581,-58.417427987392244 -34.586077996331035,-58.417484971779011 -34.586115975673508,-58.418699029067255 -34.586876034535877,-58.418774980135474 -34.586926011657596,-58.418851023292717 -34.586972021635667,-58.41946700608549 -34.587355970964431,-58.420080025787549 -34.587742981635948,-58.420155980493782 -34.587788990764444,-58.420235977379292 -34.587843025670985,-58.421392019976622 -34.588561021855476,-58.421472018447048 -34.5886149657	7189	141	C	ida	EXPRESO DIFERENCIAL
LINESTRING (-58.37017240934707 -34.58332319575738,-58.368978627442779 -34.584003459099975,-58.369273135222002 -34.584360906871893,-58.369550411667483 -34.584692193776831,-58.370259130219146 -34.585553870081505,-58.370623243424646 -34.585991160592229,-58.371836321947704 -34.587379720328101,-58.371841428959002 -34.587751912803178,-58.371734140859175 -34.588124232458334,-58.372226670013795 -34.588805233455091,-58.37325966232374 -34.590113974407828,-58.374157230080428 -34.591120475546475,-58.375439841655087 -34.59265622582982,-58.37522271627607 -34.592797263934514,-58.374932973040011 -34.592987027035541,-58.373909246339707 -34.593645009323737,-58.373040028423972 -34.594517862168949,-58.372808149845639 -34.594990049665498,-58.372251727845246 -34.596133071311144,-58.371799388226911 -34.597143810186751,-58.371618116406019 -34.597540026466653,-58.37116957763331 -34.598392091439948,-58.371457992545182 -34.598414025788763,-58.371560955087794 -34.598416987912401,-58.372802444822831 -34.5985173501	7206	115	A	ida	COMUN BASICO
LINESTRING (-58.408913997353686 -34.609129019568144,-58.406273001270719 -34.608945970588969,-58.406025007115268 -34.60886597238197,-58.405987963207807 -34.609511963675565,-58.405971970801879 -34.609751966641383,-58.405947974533618 -34.610122970789277,-58.405938984782516 -34.610249012628856,-58.405942011422326 -34.610294996490488,-58.405946977954514 -34.610397963430934,-58.405903024322697 -34.610886979865342,-58.405886990476134 -34.611055033740435,-58.405878957184235 -34.611097045333722,-58.405856034041875 -34.611211990772794,-58.405844033143168 -34.611268967349446,-58.405825011407515 -34.611333965039179,-58.405670441282915 -34.612097512572916,-58.405545117059219 -34.612435255516871,-58.404371144521413 -34.612350234260411,-58.404219846343992 -34.613372661022055,-58.404065009126832 -34.614601040256481,-58.403083042163018 -34.614544033022995,-58.403013968143462 -34.614540032138336,-58.402937968456612 -34.614536027822162,-58.40142797101894 -34.614440969750675,-58.40135602188532 -34.6144329	7220	98	A	ida	COMUN BASICO
