WKT,ID,CODIGO,NOMOFICIAL,ALT_IZQINI,ALT_IZQFIN,ALT_DERINI,ALT_DERFIN,NOMANTER,TIPO_C,LONG,OBSERVA,NOM_MAPA,SENTIDO,COD_SENT,RED_JERARQ,RED_TP,FFCC,TIPO_FFCC,METROBUS
"LINESTRING (-58.4443001758785 -34.5947640037516,-58.4455132359314 -34.5955985082274)",7995,10018,"JUSTO, JUAN B. AV.",2602,2700,2601,2699,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,144.75,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4455132359314 -34.5955985082274,-58.4465964844703 -34.5963434057713)",8151,10018,"JUSTO, JUAN B. AV.",2702,2800,2701,2799,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,129.24,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4465964844703 -34.5963434057713,-58.4476898769766 -34.5970916075994)",8322,10018,"JUSTO, JUAN B. AV.",2802,2900,2801,2899,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,130.19,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4476898769766 -34.5970916075994,-58.4481449668484 -34.5974178880875,-58.4487729106943 -34.5978524858587)",8484,10018,"JUSTO, JUAN B. AV.",2902,3000,2901,2999,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,130.37,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4487729106943 -34.5978524858587,-58.4498587605096 -34.5986027881427)",8674,10018,"JUSTO, JUAN B. AV.",3002,3100,3001,3099,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,129.81,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4498587605096 -34.5986027881427,-58.450259617813 -34.5988783513382,-58.4508760372316 -34.599308780166)",8846,10018,"JUSTO, JUAN B. AV.",3102,3200,3101,3199,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,121.83,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4512096603948 -34.5995287472348,-58.4520523003574 -34.6001204156616)",9043,10018,"JUSTO, JUAN B. AV.",3222,3300,3221,3299,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,101.40,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.467848237754 -34.6113037955939,-58.4684478880591 -34.6116139418916)",12100,10018,"JUSTO, JUAN B. AV.",4902,4950,4901,4949,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,64.87,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4684478880591 -34.6116139418916,-58.4690039885673 -34.6118981132293)",12179,10018,"JUSTO, JUAN B. AV.",4952,5000,4951,4999,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,59.96,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4690039885673 -34.6118981132293,-58.4695523247963 -34.6121901429133)",12257,10018,"JUSTO, JUAN B. AV.",5002,5050,5001,5049,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,59.82,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4695523247963 -34.6121901429133,-58.4700812210272 -34.6124761522066)",12341,10018,"JUSTO, JUAN B. AV.",5052,5100,5051,5099,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,57.96,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4700812210272 -34.6124761522066,-58.4707434948785 -34.6128261185682,-58.4712158322475 -34.6130760009694)",12486,10018,"JUSTO, JUAN B. AV.",5102,5200,5101,5199,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,123.52,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4712158322475 -34.6130760009694,-58.4714548724104 -34.6131982333341,-58.4717005224454 -34.6133360538754,-58.4718794818603 -34.6134472301954,-58.4720228761608 -34.6135731117374,-58.4721589290213 -34.6137027238271,-58.4722529003697 -34.6138245061813)",12687,10018,"JUSTO, JUAN B. AV.",5202,5300,5201,5299,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,127.78,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4794517434201 -34.620683191224,-58.4798622412117 -34.6210548632637,-58.4808176656861 -34.6220415327643)",14960,10018,"JUSTO, JUAN B. AV.",6002,6200,6001,6199,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,196.04,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4808176656861 -34.6220415327643,-58.48188061123 -34.6228690749933)",15176,10018,"JUSTO, JUAN B. AV.",6202,6300,6201,6299,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,133.90,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.48188061123 -34.6228690749933,-58.4824987911847 -34.6233516689519,-58.4826544665358 -34.6234741830225)",15351,10018,"JUSTO, JUAN B. AV.",6302,6400,6301,6399,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,97.68,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4826544665358 -34.6234741830225,-58.4829950471559 -34.6237860463303,-58.4833914011888 -34.6241094840482)",15555,10018,"JUSTO, JUAN B. AV.",6402,6500,6401,6499,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,97.68,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.4508760372316 -34.599308780166,-58.4512096603948 -34.5995287472348)",27580,10018,"JUSTO, JUAN B. AV.",3202,3220,3201,3219,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,39.14,,AV.JUAN B. JUSTO,DOBLE,2,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.5171475943662 -34.633085336405,-58.5173447257036 -34.6330114062343,-58.5185142716207 -34.6330006201623,-58.5188500684775 -34.6330465726616)",18083,10018,"JUSTO, JUAN B. AV.",0,0,9121,9199,"17 DE OCTUBRE - JUSTO, JUAN B., Av. y parciales:",AVENIDA,158.31,,AV.JUAN B. JUSTO,CRECIENTE,1,VÍA DISTRIBUIDORA PRINCIPAL,SI,,,Metrobus Juan B. Justo
"LINESTRING (-58.5269207322236 -34.6346829464131,-58.5268494774039 -34.6353151170559)",18758,7022,GANA,402,450,401,449,,CALLE,70.43,,GANA,DECRECIENTE,-1,VÍA LOCAL,,,,Metrobus Juan B. Justo
"LINESTRING (-58.5255047780165 -34.6355353310436,-58.5256048581313 -34.6345857416799)",18812,13007,MADERO,340,400,341,399,,CALLE,105.74,,MADERO,CRECIENTE,1,VÍA LOCAL,,,,Metrobus Juan B. Justo
"LINESTRING (-58.5254449746053 -34.6361146058595,-58.5254945975043 -34.6357068206956,-58.5255047780165 -34.6355353310436)",18966,13007,MADERO,302,338,301,339,,CALLE,64.51,,MADERO,CRECIENTE,1,VÍA LOCAL,,,,Metrobus Juan B. Justo
"LINESTRING (-58.5268494774039 -34.6353151170559,-58.5267476573522 -34.6362007625136)",18988,7022,GANA,302,400,301,399,,CALLE,98.69,,GANA,DECRECIENTE,-1,VÍA LOCAL,,,,Metrobus Juan B. Justo
"LINESTRING (-58.5253182910567 -34.6371569579684,-58.5254449746053 -34.6361146058595)",19259,13007,MADERO,202,300,201,299,,CALLE,116.21,,MADERO,CRECIENTE,1,VÍA LOCAL,,,,Metrobus Juan B. Justo
