PERIODO;FECHA;TIPO_VISITAS;VISITAS
201601;01/01/2016;DISC. ACOMPAÑANTE;0
201601;01/01/2016;DISCAPACITADOS;0
201601;01/01/2016;ESCUELAS PRIVADAS;0
201601;01/01/2016;ESCUELAS PUBLICAS;0
201601;01/01/2016;EXTRANJEROS;0
201601;01/01/2016;GUIA ACOMPAÑANTE;0
201601;01/01/2016;INVITACION;0
201601;01/01/2016;JUBILADOS;0
201601;01/01/2016;MENORES;0
201601;01/01/2016;RESIDENTES;0
201601;01/01/2016;UNIV. RESIDENTES;0
201601;01/01/2016;GENERAL;18
201601;02/01/2016;DISC. ACOMPAÑANTE;0
201601;02/01/2016;DISCAPACITADOS;0
201601;02/01/2016;ESCUELAS PRIVADAS;0
201601;02/01/2016;ESCUELAS PUBLICAS;0
201601;02/01/2016;EXTRANJEROS;0
201601;02/01/2016;GUIA ACOMPAÑANTE;0
201601;02/01/2016;INVITACION;0
201601;02/01/2016;JUBILADOS;0
201601;02/01/2016;MENORES;0
201601;02/01/2016;UNIV. RESIDENTES;0
201601;02/01/2016;RESIDENTES;316
201601;02/01/2016;GENERAL;835
201601;03/01/2016;DISC. ACOMPAÑANTE;0
201601;03/01/2016;DISCAPACITADOS;0
201601;03/01/2016;ESCUELAS PRIVADAS;0
201601;03/01/2016;ESCUELAS PUBLICAS;0
201601;03/01/2016;EXTRANJEROS;0
201601;03/01/2016;GUIA ACOMPAÑANTE;0
201601;03/01/2016;INVITACION;0
201601;03/01/2016;JUBILADOS;0
201601;03/01/2016;MENORES;0
201601;03/01/2016;UNIV. RESIDENTES;0
201601;03/01/2016;RESIDENTES;346
201601;03/01/2016;GENERAL;683
201601;04/01/2016;DISC. ACOMPAÑANTE;0
201601;04/01/2016;DISCAPACITADOS;0
201601;04/01/2016;ESCUELAS PRIVADAS;0
201601;04/01/2016;ESCUELAS PUBLICAS;0
201601;04/01/2016;EXTRANJEROS;0
201601;04/01/2016;GUIA ACOMPAÑANTE;0
201601;04/01/2016;INVITACION;0
201601;04/01/2016;MENORES;0
201601;04/01/2016;UNIV. RESIDENTES;13
201601;04/01/2016;JUBILADOS;45
201601;04/01/2016;RESIDENTES;333
201601;04/01/2016;GENERAL;807
201601;05/01/2016;DISC. ACOMPAÑANTE;0
201601;05/01/2016;DISCAPACITADOS;0
201601;05/01/2016;ESCUELAS PRIVADAS;0
201601;05/01/2016;ESCUELAS PUBLICAS;0
201601;05/01/2016;EXTRANJEROS;0
201601;05/01/2016;GUIA ACOMPAÑANTE;0
201601;05/01/2016;INVITACION;0
201601;05/01/2016;JUBILADOS;0
201601;05/01/2016;MENORES;0
201601;05/01/2016;UNIV. RESIDENTES;0
201601;05/01/2016;RESIDENTES;363
201601;05/01/2016;GENERAL;889
201601;06/01/2016;DISC. ACOMPAÑANTE;0
201601;06/01/2016;DISCAPACITADOS;0
201601;06/01/2016;ESCUELAS PRIVADAS;0
201601;06/01/2016;ESCUELAS PUBLICAS;0
201601;06/01/2016;EXTRANJEROS;0
201601;06/01/2016;GUIA ACOMPAÑANTE;0
201601;06/01/2016;INVITACION;0
201601;06/01/2016;MENORES;0
201601;06/01/2016;UNIV. RESIDENTES;0
201601;06/01/2016;JUBILADOS;3
201601;06/01/2016;RESIDENTES;360
201601;06/01/2016;GENERAL;900
201601;07/01/2016;DISC. ACOMPAÑANTE;0
201601;07/01/2016;DISCAPACITADOS;0
201601;07/01/2016;ESCUELAS PRIVADAS;0
201601;07/01/2016;ESCUELAS PUBLICAS;0
201601;07/01/2016;EXTRANJEROS;0
201601;07/01/2016;GUIA ACOMPAÑANTE;0
201601;07/01/2016;INVITACION;0
201601;07/01/2016;JUBILADOS;0
201601;07/01/2016;MENORES;0
201601;07/01/2016;UNIV. RESIDENTES;0
201601;07/01/2016;RESIDENTES;362
201601;07/01/2016;GENERAL;694
201601;08/01/2016;DISC. ACOMPAÑANTE;0
201601;08/01/2016;DISCAPACITADOS;0
201601;08/01/2016;ESCUELAS PRIVADAS;0
201601;08/01/2016;ESCUELAS PUBLICAS;0
201601;08/01/2016;EXTRANJEROS;0
201601;08/01/2016;GUIA ACOMPAÑANTE;0
201601;08/01/2016;INVITACION;0
